time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
10.3;(-9.32546,0.665564);(-17.5259,0.0244967);(3.31298,-4.86253);(16.5685,-0.356803);(-15.6146,0.452952);(3.32221,4.04371);(-15.2302,-1.58808);(11.0041,1.51798);(13.7529,-0.0826131);(11.9488,-1.47055);(15.0186,0.551092);(-16.2056,1.58619);(14.2136,1.56106);(14.9674,-0.929903);(-3.32299,-3.89337);(-3.32095,4.22777);(18.8262,-0.34304);(8.67046,-0.505576);(10.3067,-1.08599);(15.1475,0.518586);(-5.91904,1.31665);(12.1792,-0.640633);(10.5601,0.747315);(-15.0185,0.392849);(3.30601,3.80608);(3.30536,2.30508);(-9.41713,0.775792);(-13.3447,0.465613);(-11.0391,0.64516);(-12.2534,1.31183);(12.7259,1.06853);(-3.32808,-2.54865);(-14.0172,-1.47295);(3.31784,-3.27077);(16.1681,1.29678);(17.6954,0.41081);(-10.659,-1.12513);(7.74059,0.665013);(-16.9077,0.0750544);(13.765,-1.60953);(-3.32037,2.80571);(-16.6014,-1.17171);(-14.2002,1.50557);(-6.87865,-0.887825);(-12.5541,-0.760013);(3.2877,-2.67864);(6.43811,1.18339);(5.74839,-0.911406);(-14.004,-0.804106);(-10.7152,-1.116)
10.35;(-9.40311,0.66024);(-17.5956,0.0240387);(3.31904,-4.8449);(16.6536,-0.385642);(-15.6979,0.439363);(3.31347,4.03041);(-15.302,-1.57652);(11.0687,1.51406);(13.8107,-0.0903374);(12.0068,-1.47104);(15.0956,0.548964);(-16.2758,1.57296);(14.2858,1.58151);(15.0585,-0.953005);(-3.31857,-3.88321);(-3.32402,4.21374);(18.9233,-0.34218);(8.73755,-0.502565);(10.3747,-1.08503);(15.2225,0.541538);(-5.97866,1.31175);(12.2343,-0.643181);(10.6352,0.746327);(-15.0783,0.395643);(3.31155,3.79345);(3.3007,2.29756);(-9.49204,0.770191);(-13.4171,0.46642);(-11.1099,0.640988);(-12.3171,1.30949);(12.7763,1.05769);(-3.33405,-2.54248);(-14.0757,-1.47226);(3.32406,-3.2622);(16.2464,1.31769);(17.7686,0.399713);(-10.7324,-1.12014);(7.80348,0.661178);(-16.9832,0.0809413);(13.8111,-1.61212);(-3.30847,2.79771);(-16.6709,-1.15993);(-14.2746,1.49627);(-6.95217,-0.882746);(-12.6304,-0.754179);(3.29355,-2.66812);(6.50436,1.17849);(5.8141,-0.906647);(-14.0789,-0.795814);(-10.7881,-1.11114)
10.4;(-9.48071,0.654999);(-17.6661,0.0239597);(3.31678,-4.82787);(16.7373,-0.411086);(-15.7787,0.428693);(3.31153,4.01719);(-15.3738,-1.56401);(11.1334,1.50948);(13.8704,-0.097241);(12.0656,-1.47048);(15.1716,0.546354);(-16.3452,1.55873);(14.3577,1.59835);(15.1463,-0.972958);(-3.32047,-3.87293);(-3.3302,4.19966);(19.0185,-0.33916);(8.80464,-0.499557);(10.4428,-1.08328);(15.2968,0.561653);(-6.03823,1.30683);(12.2908,-0.645042);(10.7101,0.74495);(-15.1497,0.384576);(3.31343,3.78076);(3.30415,2.29033);(-9.56691,0.764602);(-13.4894,0.467143);(-11.1806,0.636701);(-12.381,1.30689);(12.8297,1.04702);(-3.32705,-2.53663);(-14.1347,-1.47017);(3.32021,-3.25286);(16.3234,1.33458);(17.8408,0.388604);(-10.806,-1.11506);(7.86635,0.657326);(-17.0585,0.086101);(13.86,-1.61294);(-3.30384,2.78999);(-16.7407,-1.15);(-14.34,1.5015);(-7.02566,-0.877688);(-12.7069,-0.74868);(3.29738,-2.65807);(6.57057,1.17361);(5.87979,-0.901991);(-14.1525,-0.789588);(-10.861,-1.10619)
10.45;(-9.55825,0.649835);(-17.7369,0.0239835);(3.32116,-4.81116);(16.8196,-0.433399);(-15.857,0.412669);(3.31582,4.00404);(-15.4458,-1.55173);(11.1982,1.50428);(13.9317,-0.103391);(12.125,-1.46897);(15.2465,0.543298);(-16.4148,1.55078);(14.429,1.61187);(15.2311,-0.989996);(-3.32741,-3.86254);(-3.32394,4.18553);(19.1119,-0.334005);(8.87173,-0.496551);(10.5111,-1.08076);(15.3706,0.579157);(-6.09774,1.30189);(12.3486,-0.646339);(10.785,0.743214);(-15.2232,0.376351);(3.32141,3.76831);(3.31495,2.28312);(-9.6418,0.75902);(-13.5624,0.46795);(-11.2515,0.632356);(-12.4451,1.30404);(12.8856,1.0365);(-3.32641,-2.53107);(-14.1949,-1.46889);(3.32357,-3.24307);(16.3992,1.34773);(17.9121,0.377479);(-10.8796,-1.1099);(7.92921,0.653458);(-17.1336,0.0905842);(13.9112,-1.61208);(-3.30582,2.78252);(-16.8106,-1.14066);(-14.4061,1.50443);(-7.09913,-0.872649);(-12.7828,-0.741413);(3.30462,-2.64845);(6.63674,1.16874);(5.94547,-0.897427);(-14.2235,-0.78427);(-10.9339,-1.10118)
10.5;(-9.63574,0.644742);(-17.8073,0.0239407);(3.32471,-4.79467);(16.9006,-0.452791);(-15.934,0.400474);(3.31991,3.99094);(-15.5168,-1.54043);(11.2631,1.49853);(13.9946,-0.108848);(12.1851,-1.46661);(15.3206,0.539832);(-16.4837,1.54118);(14.5,1.62235);(15.3133,-1.00437);(-3.31717,-3.85206);(-3.3246,4.17138);(19.2036,-0.326725);(8.93881,-0.493547);(10.5796,-1.07756);(15.4438,0.594255);(-6.1572,1.29693);(12.4074,-0.647148);(10.86,0.74114);(-15.2961,0.369341);(3.30807,3.75603);(3.28501,2.276);(-9.71668,0.753446);(-13.6362,0.469265);(-11.3223,0.627995);(-12.5094,1.30096);(12.9438,1.02613);(-3.33154,-2.5258);(-14.2554,-1.46625);(3.32981,-3.23297);(16.474,1.35745);(17.9826,0.366334);(-10.9532,-1.1047);(7.99206,0.649576);(-17.2085,0.0944377);(13.9645,-1.60965);(-3.31324,2.77531);(-16.8821,-1.13201);(-14.4729,1.50525);(-7.17257,-0.867626);(-12.8585,-0.734705);(3.30169,-2.63925);(6.70286,1.16389);(6.01114,-0.892945);(-14.2949,-0.77899);(-11.0069,-1.09612)
10.55;(-9.71319,0.639714);(-17.8778,0.0242173);(3.3299,-4.77828);(16.9803,-0.469471);(-16.0103,0.390552);(3.32403,3.97791);(-15.5869,-1.52943);(11.3281,1.49228);(14.0589,-0.11367);(12.2459,-1.46348);(15.3939,0.535987);(-16.5519,1.53008);(14.5705,1.63003);(15.3931,-1.0163);(-3.3138,-3.84151);(-3.33095,4.15822);(19.2936,-0.317314);(9.00589,-0.490546);(10.6485,-1.07374);(15.5164,0.607138);(-6.21661,1.29195);(12.4671,-0.647516);(10.9353,0.738746);(-15.3686,0.363228);(3.30287,3.74368);(3.26552,2.26922);(-9.79158,0.747878);(-13.7105,0.469905);(-11.3932,0.623654);(-12.5739,1.29767);(13.0039,1.0159);(-3.32974,-2.5208);(-14.3161,-1.46238);(3.32403,-3.22269);(16.5477,1.364);(18.0524,0.355167);(-11.0268,-1.09947);(8.05489,0.64568);(-17.2838,0.0982826);(14.0196,-1.60573);(-3.30661,2.76732);(-16.9533,-1.12408);(-14.5405,1.50486);(-7.24598,-0.862619);(-12.9343,-0.728182);(3.30598,-2.63043);(6.76895,1.15905);(6.07677,-0.888536);(-14.3667,-0.773663);(-11.0799,-1.09104)
10.6;(-9.79058,0.634747);(-17.9483,0.0246231);(3.32889,-4.76177);(17.0589,-0.483634);(-16.0861,0.382263);(3.3276,3.96494);(-15.6566,-1.51845);(11.3931,1.48558);(14.1245,-0.117906);(12.3073,-1.45965);(15.4665,0.531792);(-16.6196,1.51768);(14.6407,1.63514);(15.4707,-1.02597);(-3.31651,-3.83244);(-3.3234,4.14496);(19.382,-0.305744);(9.07296,-0.487545);(10.7176,-1.06935);(15.5886,0.617979);(-6.27597,1.28695);(12.5275,-0.647482);(11.0109,0.736047);(-15.4408,0.357789);(3.30505,3.7313);(3.25556,2.26279);(-9.86646,0.742316);(-13.785,0.470045);(-11.464,0.619366);(-12.6386,1.29418);(13.0657,1.00579);(-3.33401,-2.51452);(-14.3778,-1.45877);(3.32573,-3.2125);(16.6205,1.36761);(18.1215,0.343976);(-11.1003,-1.09423);(8.11772,0.641772);(-17.3589,0.101526);(14.0764,-1.60046);(-3.30682,2.75965);(-17.0246,-1.1158);(-14.609,1.50349);(-7.31937,-0.857625);(-13.0095,-0.72049);(3.31193,-2.62196);(6.83499,1.15421);(6.14238,-0.884193);(-14.4387,-0.768478);(-11.1529,-1.08596)
10.65;(-9.86792,0.62982);(-18.0226,0.0224766);(3.33429,-4.74541);(17.1365,-0.495458);(-16.1608,0.369295);(3.33224,3.95205);(-15.7255,-1.50752);(11.4582,1.47849);(14.1912,-0.121606);(12.3693,-1.45517);(15.5385,0.527274);(-16.6882,1.51023);(14.7106,1.6379);(15.5463,-1.03357);(-3.32307,-3.82336);(-3.32291,4.13162);(19.4689,-0.291967);(9.14003,-0.484547);(10.7871,-1.06447);(15.6604,0.626941);(-6.33527,1.28194);(12.5885,-0.647075);(11.0867,0.733072);(-15.5124,0.352868);(3.31319,3.71888);(3.25426,2.25667);(-9.94135,0.736757);(-13.8597,0.469959);(-11.5347,0.615153);(-12.7035,1.29052);(13.1291,0.995794);(-3.33539,-2.50845);(-14.4395,-1.45399);(3.33374,-3.20214);(16.6924,1.36851);(18.19,0.332759);(-11.1739,-1.08898);(8.18053,0.637853);(-17.43,0.106936);(14.1345,-1.59394);(-3.31324,2.75229);(-17.0959,-1.10712);(-14.6783,1.50128);(-7.39274,-0.852642);(-13.0847,-0.713327);(3.31238,-2.61384);(6.90099,1.14938);(6.20796,-0.879908);(-14.5106,-0.763482);(-11.226,-1.08088)
10.7;(-9.94521,0.624934);(-18.0962,0.0204598);(3.33103,-4.72915);(17.2122,-0.506657);(-16.2346,0.358907);(3.33279,3.93922);(-15.7941,-1.49702);(11.5234,1.47104);(14.2604,-0.123263);(12.4317,-1.45011);(15.6098,0.522457);(-16.7548,1.50135);(14.7802,1.6385);(15.6202,-1.03925);(-3.31679,-3.81411);(-3.32884,4.11822);(19.5542,-0.275905);(9.2071,-0.481549);(10.8568,-1.05914);(15.7318,0.634169);(-6.39453,1.2769);(12.6501,-0.646324);(11.163,0.72983);(-15.5844,0.348703);(3.30274,3.70644);(3.26085,2.25088);(-10.0162,0.731201);(-13.9345,0.469532);(-11.6055,0.611038);(-12.7687,1.28669);(13.1938,0.985892);(-3.34242,-2.50274);(-14.502,-1.44927);(3.31328,-3.19167);(16.7635,1.36691);(18.2589,0.323066);(-11.2475,-1.08375);(8.24333,0.633923);(-17.5029,0.111876);(14.1926,-1.58782);(-3.31079,2.7452);(-17.168,-1.09884);(-14.7485,1.49843);(-7.46607,-0.847669);(-13.1593,-0.705407);(3.31978,-2.60603);(6.96696,1.14456);(6.2735,-0.875675);(-14.5818,-0.758814);(-11.299,-1.07581)
10.75;(-10.0224,0.620084);(-18.169,0.0185645);(3.33448,-4.71277);(17.2872,-0.515687);(-16.3081,0.35016);(3.33937,3.92647);(-15.8626,-1.48654);(11.5886,1.46328);(14.3303,-0.124611);(12.4946,-1.44448);(15.6806,0.517365);(-16.821,1.49088);(14.8495,1.63711);(15.6923,-1.04318);(-3.31705,-3.80472);(-3.32447,4.10478);(19.6379,-0.257439);(9.27416,-0.478553);(10.9269,-1.05341);(15.8028,0.639798);(-6.45373,1.27185);(12.7122,-0.645462);(11.2395,0.726572);(-15.6561,0.344846);(3.30019,3.69401);(3.26784,2.24537);(-10.0911,0.725646);(-14.0093,0.469284);(-11.6762,0.607037);(-12.8341,1.28268);(13.2597,0.976061);(-3.32367,-2.49738);(-14.5645,-1.44345);(3.30168,-3.18135);(16.8339,1.36299);(18.3272,0.313194);(-11.3211,-1.07854);(8.30613,0.629983);(-17.5761,0.116646);(14.2521,-1.58052);(-3.31481,2.73839);(-17.2405,-1.09024);(-14.8196,1.49484);(-7.53939,-0.842705);(-13.2339,-0.698107);(3.31101,-2.59853);(7.03288,1.13974);(6.33901,-0.871489);(-14.653,-0.754527);(-11.3721,-1.07076)
10.8;(-10.0996,0.615266);(-18.2421,0.0170988);(3.33907,-4.69628);(17.3605,-0.523804);(-16.3814,0.340637);(3.32633,3.91399);(-15.931,-1.47601);(11.6539,1.45524);(14.401,-0.125676);(12.5579,-1.43836);(15.7509,0.512018);(-16.8869,1.48101);(14.9185,1.63389);(15.763,-1.04549);(-3.32324,-3.7952);(-3.32689,4.09131);(19.6379,-0.257439);(9.34122,-0.475558);(10.9972,-1.04733);(15.87,0.643466);(-6.51288,1.26678);(12.775,-0.644341);(11.3164,0.723293);(-15.7273,0.341175);(3.30482,3.68158);(3.27337,2.23995);(-10.1659,0.720085);(-14.084,0.468655);(-11.7468,0.603161);(-12.8997,1.2785);(13.3265,0.966161);(-3.31248,-2.49235);(-14.6276,-1.43751);(3.29816,-3.17119);(16.9071,1.35741);(18.3959,0.304257);(-11.3947,-1.07333);(8.36891,0.626034);(-17.6497,0.121614);(14.3126,-1.57216);(-3.31981,2.73183);(-17.312,-1.08184);(-14.8917,1.49077);(-7.61267,-0.83775);(-13.308,-0.690236);(3.31008,-2.59132);(7.09877,1.13492);(6.40448,-0.867344);(-14.724,-0.750474);(-11.4452,-1.06572)
10.85;(-10.1767,0.610477);(-18.3146,0.0157097);(3.33875,-4.67971);(17.4329,-0.530406);(-16.4543,0.332763);(3.32059,3.90157);(-15.9994,-1.46554);(11.7192,1.44697);(14.4724,-0.12648);(12.6216,-1.43178);(15.8207,0.506454);(-16.9527,1.46966);(14.9863,1.62965);(15.8324,-1.04633);(-3.31879,-3.78557);(-3.3336,4.07962);(19.6379,-0.257439);(9.40827,-0.472564);(11.0677,-1.04093);(15.9381,0.645176);(-6.57199,1.26169);(12.8384,-0.642977);(11.3935,0.719984);(-15.7981,0.337704);(3.31016,3.67009);(3.28087,2.23389);(-10.2407,0.714518);(-14.1588,0.468285);(-11.8173,0.599424);(-12.9656,1.27415);(13.3939,0.95621);(-3.30815,-2.48765);(-14.691,-1.4313);(3.30057,-3.16385);(16.9794,1.34981);(18.4644,0.295518);(-11.4683,-1.06815);(8.43168,0.622076);(-17.7235,0.126089);(14.3742,-1.56283);(-3.32172,2.72371);(-17.3839,-1.07285);(-14.9646,1.48587);(-7.68594,-0.832801);(-13.3816,-0.682182);(3.31766,-2.58173);(7.16461,1.13011);(6.46991,-0.863237);(-14.7949,-0.746684);(-11.5184,-1.06071)
10.9;(-10.2537,0.605711);(-18.3877,0.0146516);(3.34475,-4.66414);(17.5042,-0.535644);(-16.526,0.321344);(3.32149,3.88923);(-16.0679,-1.45501);(11.7845,1.43848);(14.5443,-0.127051);(12.6857,-1.42473);(15.8902,0.500781);(-17.0192,1.46176);(15.0539,1.62381);(15.9005,-1.0459);(-3.32074,-3.77737);(-3.32269,4.06776);(19.6379,-0.257439);(9.47532,-0.469571);(11.1385,-1.03426);(16.0062,0.645737);(-6.63105,1.25659);(12.9025,-0.641432);(11.4709,0.716646);(-15.8687,0.334362);(3.31292,3.659);(3.28329,2.22772);(-10.3155,0.708944);(-14.2335,0.467638);(-11.8878,0.595835);(-13.0317,1.26961);(13.462,0.946221);(-3.31006,-2.48175);(-14.7547,-1.42474);(3.30896,-3.15535);(17.0507,1.34033);(18.533,0.287002);(-11.5418,-1.06298);(8.49445,0.618111);(-17.7978,0.130977);(14.4368,-1.55263);(-3.32869,2.7159);(-17.4543,-1.06424);(-15.0384,1.48049);(-7.75918,-0.827858);(-13.455,-0.673898);(3.30873,-2.57266);(7.23043,1.1253);(6.53529,-0.859162);(-14.8653,-0.743104);(-11.5916,-1.0557)
10.95;(-10.3307,0.600964);(-18.4601,0.0136363);(3.33371,-4.64895);(17.5744,-0.539496);(-16.5969,0.312468);(3.32841,3.87708);(-16.1362,-1.4449);(11.8498,1.4298);(14.6167,-0.127418);(12.7502,-1.41734);(15.9594,0.495149);(-17.0853,1.45203);(15.1215,1.61654);(15.9674,-1.04446);(-3.32774,-3.76911);(-3.31919,4.05575);(19.6379,-0.257439);(9.54237,-0.466579);(11.2095,-1.02734);(16.0742,0.645236);(-6.69006,1.25147);(12.9671,-0.639721);(11.5485,0.713384);(-15.939,0.331225);(3.32065,3.64819);(3.29332,2.22144);(-10.3901,0.703339);(-14.3083,0.467345);(-11.9582,0.592404);(-13.098,1.26489);(13.5306,0.936198);(-3.31766,-2.47613);(-14.8185,-1.41777);(3.29903,-3.14634);(17.1212,1.32911);(18.6016,0.278566);(-11.6154,-1.05783);(8.55721,0.614138);(-17.8721,0.135008);(14.5002,-1.54164);(-3.31817,2.70847);(-17.5261,-1.05492);(-15.1128,1.47441);(-7.83239,-0.82292);(-13.528,-0.665588);(3.3077,-2.56406);(7.2962,1.12049);(6.60064,-0.855116);(-14.9356,-0.73991);(-11.6649,-1.05068)
11;(-10.4076,0.596227);(-18.5334,0.0129295);(3.3301,-4.63398);(17.6438,-0.541975);(-16.6666,0.305044);(3.31811,3.8651);(-16.2044,-1.43488);(11.9152,1.42096);(14.6912,-0.125238);(12.8149,-1.40965);(16.0286,0.489722);(-17.1511,1.44065);(15.1888,1.60802);(16.0333,-1.04232);(-3.31708,-3.76091);(-3.32242,4.04362);(19.6379,-0.257439);(9.60941,-0.463587);(11.2807,-1.02022);(16.1421,0.643773);(-6.74903,1.24634);(13.0322,-0.637855);(11.6264,0.710119);(-16.0093,0.327893);(3.30943,3.63754);(3.28197,2.21517);(-10.4648,0.697726);(-14.3821,0.466387);(-12.0285,0.589144);(-13.1645,1.25999);(13.5996,0.926229);(-3.30747,-2.47067);(-14.8826,-1.41033);(3.29707,-3.13702);(17.1909,1.31632);(18.6703,0.270074);(-11.689,-1.05269);(8.61997,0.610159);(-17.9474,0.140121);(14.5626,-1.53234);(-3.31495,2.7014);(-17.597,-1.04646);(-15.1879,1.46814);(-7.90559,-0.817987);(-13.6016,-0.656787);(3.31385,-2.55592);(7.36194,1.11569);(6.66593,-0.851096);(-15.0057,-0.736809);(-11.7383,-1.04568)
11.05;(-10.4844,0.591496);(-18.6059,0.0122347);(3.33322,-4.61913);(17.7123,-0.543116);(-16.736,0.294799);(3.31492,3.85328);(-16.2727,-1.4249);(11.9805,1.41198);(14.7647,-0.123565);(12.8799,-1.40167);(16.0985,0.484673);(-17.2182,1.43146);(15.2561,1.59869);(16.0982,-1.03972);(-3.31338,-3.75281);(-3.3285,4.0314);(19.6379,-0.257439);(9.67645,-0.460596);(11.3522,-1.01291);(16.2102,0.641527);(-6.80796,1.24119);(13.0976,-0.635852);(11.7046,0.706868);(-16.0792,0.324223);(3.30624,3.62708);(3.27952,2.20893);(-10.5395,0.692104);(-14.4576,0.467132);(-12.0987,0.586064);(-13.2312,1.25488);(13.669,0.916305);(-3.30414,-2.46533);(-14.9468,-1.40254);(3.30238,-3.12753);(17.2598,1.30216);(18.739,0.261366);(-11.7627,-1.04755);(8.68272,0.606173);(-18.0224,0.144299);(14.6259,-1.52216);(-3.31837,2.69467);(-17.6673,-1.03616);(-15.2626,1.46097);(-7.97876,-0.813058);(-13.674,-0.648775);(3.31321,-2.54819);(7.42765,1.11088);(6.73119,-0.8471);(-15.0757,-0.733926);(-11.8116,-1.04068)
11.1;(-10.5612,0.586767);(-18.6778,0.0115508);(3.33873,-4.60437);(17.7807,-0.542979);(-16.8031,0.286851);(3.31815,3.84163);(-16.3404,-1.41556);(12.0459,1.40288);(14.8379,-0.122182);(12.9453,-1.39345);(16.1686,0.479828);(-17.2847,1.42047);(15.3233,1.58865);(16.1622,-1.03672);(-3.31603,-3.74484);(-3.3237,4.02028);(19.6379,-0.257439);(9.74349,-0.457606);(11.4238,-1.00545);(16.2785,0.638505);(-6.86684,1.23602);(13.1635,-0.633729);(11.7829,0.703643);(-16.1494,0.320425);(3.31032,3.61677);(3.28522,2.20275);(-10.6142,0.686469);(-14.5304,0.465202);(-12.1688,0.583168);(-13.2981,1.24956);(13.7387,0.906435);(-3.30703,-2.46009);(-15.0113,-1.3943);(3.30659,-3.11793);(17.328,1.28689);(18.8072,0.252268);(-11.8363,-1.04241);(8.74547,0.602182);(-18.0973,0.147595);(14.69,-1.51119);(-3.32412,2.68707);(-17.7408,-1.02488);(-15.3397,1.45553);(-8.05191,-0.808132);(-13.747,-0.640288);(3.31974,-2.54085);(7.49332,1.10608);(6.7964,-0.843124);(-15.1456,-0.730835);(-11.8849,-1.03568)
11.15;(-10.6379,0.582032);(-18.7517,0.0123323);(3.33367,-4.58969);(17.8418,-0.541761);(-16.871,0.279195);(3.32421,3.83012);(-16.4081,-1.40656);(12.1113,1.39368);(14.9108,-0.120999);(13.0109,-1.385);(16.2372,0.475221);(-17.3515,1.40869);(15.3904,1.57802);(16.2255,-1.03347);(-3.32276,-3.737);(-3.32578,4.00899);(19.6379,-0.257439);(9.81052,-0.454616);(11.4956,-0.997862);(16.3468,0.63475);(-6.92568,1.23085);(13.2297,-0.631504);(11.8615,0.70045);(-16.2194,0.316451);(3.3163,3.60659);(3.29108,2.19621);(-10.6889,0.68082);(-14.6054,0.466234);(-12.2388,0.580464);(-13.3653,1.24403);(13.8088,0.896624);(-3.3138,-2.45496);(-15.076,-1.38594);(3.30885,-3.11246);(17.3968,1.27067);(18.8823,0.242746);(-11.9099,-1.03727);(8.80821,0.598185);(-18.176,0.159142);(14.7549,-1.49949);(-3.32194,2.67989);(-17.8069,-1.02246);(-15.4163,1.4491);(-8.12505,-0.803209);(-13.8181,-0.633255);(3.31974,-2.52966);(7.55897,1.10128);(6.86157,-0.839167);(-15.2156,-0.728181);(-11.9581,-1.03067)
11.2;(-10.7144,0.577286);(-18.8248,0.0129814);(3.33497,-4.576);(17.9037,-0.540284);(-16.9384,0.270559);(3.32035,3.81874);(-16.476,-1.39783);(12.1767,1.3844);(14.9847,-0.117691);(13.0767,-1.37635);(16.3063,0.470971);(-17.4191,1.39769);(15.4575,1.56696);(16.2881,-1.03013);(-3.31568,-3.72929);(-3.33328,3.99796);(19.6379,-0.257439);(9.87755,-0.451626);(11.5675,-0.990166);(16.4151,0.630371);(-6.98448,1.22566);(13.2962,-0.629192);(11.9401,0.697296);(-16.2894,0.312169);(3.31573,3.59648);(3.29567,2.18923);(-10.7635,0.675152);(-14.6793,0.466246);(-12.3087,0.577959);(-13.4324,1.2384);(13.879,0.886877);(-3.30934,-2.44992);(-15.1409,-1.37704);(3.31763,-3.10565);(17.4649,1.25421);(18.9562,0.232854);(-11.9836,-1.03212);(8.87095,0.594184);(-18.2542,0.169031);(14.8186,-1.48953);(-3.32614,2.67269);(-17.8733,-1.01789);(-15.4937,1.4426);(-8.19816,-0.798289);(-13.8901,-0.625898);(3.32689,-2.5192);(7.62458,1.09648);(6.92669,-0.835226);(-15.2849,-0.725025);(-12.0314,-1.02564)
11.25;(-10.7909,0.572524);(-18.8972,0.0135033);(3.34233,-4.56204);(17.9663,-0.538615);(-17.006,0.263603);(3.32301,3.80742);(-16.5437,-1.38949);(12.2421,1.37506);(15.0572,-0.115205);(13.1428,-1.36753);(16.3762,0.467015);(-17.4865,1.38516);(15.5247,1.55593);(16.3499,-1.02677);(-3.3152,-3.72161);(-3.31683,3.98715);(19.6379,-0.257439);(9.94458,-0.448637);(11.6396,-0.982385);(16.4836,0.625424);(-7.04324,1.22046);(13.363,-0.626807);(12.0189,0.694196);(-16.3593,0.307581);(3.32223,3.58627);(3.30124,2.18051);(-10.8382,0.669463);(-14.7534,0.466669);(-12.3785,0.575602);(-13.4997,1.23259);(13.9495,0.877182);(-3.31133,-2.44509);(-15.206,-1.36801);(3.30109,-3.09877);(17.5322,1.23759);(19.029,0.222594);(-12.0573,-1.02695);(8.93368,0.590178);(-18.3319,0.177349);(14.8832,-1.47874);(-3.32943,2.6655);(-17.9405,-1.01147);(-15.5703,1.4355);(-8.27125,-0.793371);(-13.9625,-0.617963);(3.31679,-2.50944);(7.69016,1.09168);(6.99176,-0.831299);(-15.3542,-0.722031);(-12.1047,-1.0206)
11.3;(-10.8673,0.567736);(-18.969,0.0139025);(3.32131,-4.54785);(18.0298,-0.536795);(-17.0714,0.253654);(3.32963,3.79616);(-16.6113,-1.38128);(12.3076,1.36565);(15.1295,-0.113171);(13.2091,-1.35852);(16.4429,0.462606);(-17.5558,1.37554);(15.5919,1.5448);(16.4114,-1.02286);(-3.32071,-3.71406);(-3.30835,3.97618);(19.6379,-0.257439);(10.0116,-0.445648);(11.7118,-0.974531);(16.5423,0.618851);(-7.10197,1.21524);(13.43,-0.624364);(12.0978,0.691151);(-16.4291,0.302701);(3.3176,3.57597);(3.30113,2.1671);(-10.9129,0.663748);(-14.8278,0.467071);(-12.4482,0.573482);(-13.5673,1.22652);(14.0202,0.867542);(-3.3185,-2.44033);(-15.2714,-1.35866);(3.29319,-3.09186);(17.6111,1.222);(19.1008,0.211966);(-12.131,-1.02176);(8.99642,0.586168);(-18.4092,0.184179);(14.9484,-1.46721);(-3.33488,2.65872);(-18.0083,-1.00332);(-15.6463,1.42779);(-8.34433,-0.788454);(-14.0354,-0.609475);(3.31482,-2.50032);(7.75571,1.08688);(7.0568,-0.827386);(-15.4236,-0.718938);(-12.178,-1.01553)
11.35;(-10.9436,0.562918);(-19.0402,0.0141829);(3.3087,-4.53347);(18.093,-0.535026);(-17.1384,0.245866);(3.32081,3.78496);(-16.6786,-1.37411);(12.373,1.3562);(15.1996,-0.110671);(13.2756,-1.34936);(16.5116,0.458386);(-17.6241,1.36388);(15.6552,1.53801);(16.4726,-1.02003);(-3.32001,-3.70669);(-3.30712,3.96507);(19.6379,-0.257439);(10.0786,-0.44266);(11.7841,-0.966659);(16.6077,0.609612);(-7.16066,1.21002);(13.4963,-0.622257);(12.1768,0.688171);(-16.4992,0.297753);(3.32044,3.56562);(3.30903,2.15484);(-10.9875,0.658004);(-14.901,0.467415);(-12.5178,0.571584);(-13.6351,1.22018);(14.0919,0.858379);(-3.31054,-2.43563);(-15.337,-1.34925);(3.29316,-3.08493);(17.6886,1.2066);(19.1718,0.200876);(-12.2048,-1.01655);(9.05915,0.582154);(-18.486,0.189595);(15.0127,-1.45714);(-3.33127,2.65233);(-18.0758,-0.993106);(-15.724,1.42036);(-8.41738,-0.783539);(-14.1075,-0.600911);(3.32026,-2.49181);(7.82123,1.08208);(7.12179,-0.823485);(-15.4929,-0.71586);(-12.2513,-1.01043)
11.4;(-11.0198,0.55806);(-19.1109,0.0143475);(3.30374,-4.51892);(18.1562,-0.533314);(-17.2035,0.239118);(3.31899,3.77384);(-16.7457,-1.36702);(12.4385,1.34671);(15.2724,-0.107414);(13.3417,-1.34033);(16.5799,0.453785);(-17.6922,1.35134);(15.7188,1.53019);(16.5332,-1.01713);(-3.32542,-3.69911);(-3.31262,3.95492);(19.6379,-0.257439);(10.1456,-0.439671);(11.8565,-0.95874);(16.6736,0.600931);(-7.21931,1.20478);(13.5634,-0.619845);(12.2558,0.685295);(-16.5695,0.292282);(3.32784,3.55522);(3.28153,2.12243);(-11.0621,0.652225);(-14.9758,0.468562);(-12.5874,0.569933);(-13.7027,1.2138);(14.1625,0.849429);(-3.30932,-2.43137);(-15.4026,-1.33963);(3.30026,-3.078);(17.7649,1.19135);(19.2421,0.189352);(-12.2786,-1.01129);(9.12189,0.578137);(-18.5625,0.193665);(15.0767,-1.44745);(-3.3343,2.64522);(-18.1455,-0.98176);(-15.8009,1.41269);(-8.49043,-0.778625);(-14.1793,-0.592858);(3.3212,-2.48387);(7.88673,1.07728);(7.18673,-0.819594);(-15.5622,-0.7126);(-12.3246,-1.00529)
