time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0.5;(-1.45965,2.87326);(-2.38369,0.144543);(2.08519,-3.99233);(1.54833,-0.0355877);(-1.22546,1.60388);(2.08482,3.9846);(-1.12318,-0.405467);(1.6129,2.53457);(0.742894,-0.825339);(1.23764,-2.22648);(1.30074,0.863375);(-2.27588,1.52833);(0.92663,1.44092);(1.67982,-0.450241);(-2.28389,-4.02333);(-1.75396,4.24066);(2.2629,-0.389691);(0.312215,-2.4002);(1.5658,-1.79144);(1.14771,0.856978);(-0.159685,3.02349);(0.955485,-1.65938);(0.981153,2.36631);(-0.589035,1.10808);(2.28328,3.64718);(0.670809,3.53324);(-1.76485,2.96372);(-0.373072,0.419176);(-0.149638,1.61337);(-0.43689,0.454521);(0.402966,-0.225442);(-0.999029,-2.62923);(-1.23811,-0.67201);(0.91476,-3.12194);(1.84007,0.824618);(2.35247,1.52214);(-1.75304,-2.77692);(0.325281,2.22935);(-1.72637,0.355035);(2.25112,-2.02213);(-1.51718,3.70769);(-2.02706,-1.55805);(-0.887085,1.31967);(-0.367669,-2.06451);(-0.616579,-1.24856);(0.245284,-3.11767);(1.12094,3.18545);(2.09887,-2.12807);(-0.543612,-0.760695);(-2.02697,-2.87833)
0.55;(-1.51312,2.90473);(-2.46051,0.146521);(2.13604,-3.99366);(1.63143,-0.0366876);(-1.28132,1.62467);(2.12849,4.00061);(-1.18072,-0.406888);(1.67498,2.53689);(0.776996,-0.807384);(1.28256,-2.24486);(1.34899,0.876725);(-2.32965,1.54115);(0.958308,1.44297);(1.73354,-0.45379);(-2.33042,-4.05107);(-1.79634,4.28948);(2.32188,-0.38907);(0.322366,-2.41722);(1.63309,-1.81019);(1.19592,0.865936);(-0.179341,3.03962);(0.955755,-1.67069);(1.02671,2.37198);(-0.657584,1.10426);(2.33055,3.65944);(0.719412,3.56777);(-1.82389,2.9871);(-0.405323,0.404216);(-0.163535,1.63953);(-0.505157,0.41512);(0.441992,-0.248258);(-1.03207,-2.64424);(-1.29177,-0.672797);(0.942487,-3.14601);(1.88777,0.825683);(2.45961,1.51649);(-1.79793,-2.78113);(0.358702,2.24709);(-1.80567,0.353159);(2.30897,-2.01297);(-1.55763,3.74416);(-2.104,-1.55376);(-0.943958,1.33144);(-0.406812,-2.10055);(-0.643507,-1.27052);(0.27014,-3.13702);(1.14124,3.20542);(2.19542,-2.12946);(-0.598591,-0.772583);(-2.07154,-2.87326)
0.6;(-1.56819,2.93225);(-2.53654,0.148281);(2.18619,-3.99347);(1.71376,-0.0376859);(-1.33852,1.64323);(2.17234,4.01386);(-1.27109,-0.446023);(1.73606,2.53827);(0.852972,-0.816753);(1.32922,-2.26099);(1.39938,0.88816);(-2.3811,1.55098);(0.993715,1.44487);(1.7881,-0.457002);(-2.37511,-4.07497);(-1.84026,4.33234);(2.38311,-0.387969);(0.337771,-2.43217);(1.69982,-1.8267);(1.24652,0.874169);(-0.203278,3.05643);(0.962483,-1.68078);(1.07518,2.37671);(-0.726693,1.10114);(2.37679,3.66923);(0.770095,3.59794);(-1.88272,3.00725);(-0.443029,0.391667);(-0.182083,1.66042);(-0.541144,0.413903);(0.440033,-0.242434);(-1.06704,-2.65733);(-1.37883,-0.710798);(0.974183,-3.16687);(1.93772,0.82651);(2.56284,1.51094);(-1.84461,-2.78426);(0.394637,2.26285);(-1.88487,0.351445);(2.36351,-2.00253);(-1.59951,3.77617);(-2.18052,-1.54946);(-1.00255,1.34196);(-0.449036,-2.13288);(-0.675906,-1.29057);(0.298977,-3.15371);(1.16576,3.2226);(2.27786,-2.13011);(-0.654035,-0.834469);(-2.1174,-2.868)
0.65;(-1.62459,2.95615);(-2.61184,0.149841);(2.23547,-3.99189);(1.79533,-0.0385907);(-1.34652,1.67075);(2.21614,4.02459);(-1.32473,-0.451237);(1.79612,2.53878);(0.882308,-0.844143);(1.37739,-2.27507);(1.45184,0.898301);(-2.48166,1.55147);(1.03249,1.44643);(1.8893,-0.442193);(-2.41815,-4.09541);(-1.88543,4.36978);(2.44665,-0.386429);(0.357941,-2.44522);(1.76587,-1.84115);(1.29931,0.881701);(-0.230305,3.07101);(0.975071,-1.68975);(1.12631,2.38053);(-0.796333,1.09859);(2.4218,3.67675);(0.822628,3.62412);(-1.94118,3.02445);(-0.485748,0.381232);(-0.205642,1.67938);(-0.580867,0.413594);(0.446738,-0.237938);(-1.10482,-2.67978);(-1.42831,-0.715823);(1.00945,-3.18482);(1.98971,0.827115);(2.66253,1.50547);(-1.89659,-2.78743);(0.432844,2.2768);(-1.96397,0.349865);(2.4174,-1.99258);(-1.6426,3.80412);(-2.29486,-1.57788);(-1.06128,1.35104);(-0.473833,-2.21207);(-0.712885,-1.3084);(0.331415,-3.16798);(1.19407,3.23723);(2.34888,-2.13007);(-0.722446,-0.848065);(-2.16163,-2.86647)
0.7;(-1.68202,2.97676);(-2.68704,0.151359);(2.28417,-3.98918);(1.87548,-0.0248143);(-1.40447,1.70072);(2.2597,4.03302);(-1.38093,-0.456046);(1.85514,2.53851);(0.916749,-0.869232);(1.42645,-2.28716);(1.50614,0.90725);(-2.56658,1.52741);(1.0743,1.44757);(1.94052,-0.429038);(-2.45941,-4.11265);(-1.93158,4.40229);(2.56017,-0.383558);(0.382432,-2.45655);(1.83111,-1.85372);(1.35406,0.888555);(-0.259414,3.08568);(0.992975,-1.69771);(1.17979,2.38353);(-0.866473,1.09655);(2.46542,3.68222);(0.876798,3.64668);(-1.99908,3.03898);(-0.533064,0.372632);(-0.179362,1.69432);(-0.62399,0.414053);(0.461335,-0.234635);(-1.14402,-2.69959);(-1.47977,-0.720414);(1.04792,-3.2001);(2.04354,0.827509);(2.75932,1.50043);(-1.94913,-2.78935);(0.473103,2.2891);(-2.04236,0.348231);(2.46775,-1.98024);(-1.68671,3.82838);(-2.38672,-1.59865);(-1.12158,1.35896);(-0.503104,-2.28342);(-0.754353,-1.32465);(0.367094,-3.1801);(1.2258,3.24956);(2.41073,-2.12941);(-0.791915,-0.859091);(-2.20657,-2.86457)
0.75;(-1.74194,3.00071);(-2.76126,0.120297);(2.33189,-3.9855);(1.95501,-0.012311);(-1.45913,1.71779);(2.30765,4.03871);(-1.43945,-0.460467);(1.91307,2.53751);(0.955776,-0.892214);(1.47638,-2.29736);(1.56198,0.91556);(-2.66721,1.55082);(1.11886,1.44816);(1.98977,-0.439864);(-2.49895,-4.12699);(-1.97844,4.4303);(2.6708,-0.380825);(0.410839,-2.46632);(1.8954,-1.86455);(1.41022,0.895655);(-0.291123,3.09831);(1.01569,-1.70474);(1.23535,2.38579);(-0.93708,1.09492);(2.50753,3.68581);(0.927568,3.66659);(-2.05876,3.05447);(-0.58458,0.365613);(-0.162252,1.70787);(-0.670201,0.41515);(0.483116,-0.232388);(-1.18448,-2.71701);(-1.53304,-0.724606);(1.08925,-3.21297);(2.10245,0.849156);(2.85314,1.4954);(-2.00195,-2.79013);(0.514058,2.29584);(-2.10022,0.322713);(2.51509,-1.96449);(-1.73166,3.84927);(-2.4622,-1.61258);(-1.18326,1.3657);(-0.536431,-2.34761);(-0.799855,-1.33946);(0.405689,-3.19026);(1.26175,3.26383);(2.46527,-2.12818);(-0.862226,-0.869505);(-2.25196,-2.86183)
0.8;(-1.80211,3.02134);(-2.83519,0.0933479);(2.37842,-3.98101);(2.03396,-0.000963987);(-1.51506,1.73289);(2.35379,4.04255);(-1.46498,-0.502463);(1.96942,2.53942);(0.998896,-0.913241);(1.52705,-2.30576);(1.61914,0.922484);(-2.73001,1.55242);(1.16603,1.44861);(2.03689,-0.4436);(-2.53682,-4.13868);(-2.02578,4.45422);(2.77879,-0.378212);(0.442789,-2.47466);(1.92983,-1.87238);(1.46795,0.901857);(-0.325183,3.10907);(1.04277,-1.71093);(1.29267,2.38753);(-1.00812,1.09363);(2.54802,3.68769);(0.98012,3.68343);(-2.11702,3.06741);(-0.639922,0.35994);(-0.15345,1.72015);(-0.719208,0.41677);(0.511427,-0.231062);(-1.22606,-2.73223);(-1.55547,-0.768167);(1.13314,-3.22365);(2.16277,0.863048);(2.94426,1.49038);(-2.05476,-2.78994);(0.556795,2.30159);(-2.19106,0.334772);(2.56825,-1.95556);(-1.77727,3.86709);(-2.52576,-1.62137);(-1.24617,1.3712);(-0.573366,-2.4053);(-0.848978,-1.35292);(0.446909,-3.19863);(1.3003,3.27581);(2.54277,-2.12785);(-0.931628,-0.880666);(-2.29744,-2.85833)
0.85;(-1.86232,3.03892);(-2.90854,0.0688674);(2.42357,-3.97586);(2.11235,0.00933255);(-1.57202,1.7462);(2.39815,4.04473);(-1.51983,-0.503953);(2.02442,2.54104);(1.03416,-0.922046);(1.57835,-2.31245);(1.67758,0.928436);(-2.78207,1.56768);(1.21558,1.4489);(2.08538,-0.446942);(-2.57306,-4.14797);(-2.07335,4.47441);(2.88436,-0.375704);(0.477943,-2.4817);(1.97924,-1.88931);(1.52715,0.907315);(-0.361367,3.11814);(1.07377,-1.71635);(1.35157,2.38868);(-1.07956,1.09262);(2.58684,3.68802);(1.03424,3.69748);(-2.17375,3.07803);(-0.698732,0.355406);(-0.152182,1.73128);(-0.77074,0.418806);(0.545665,-0.230523);(-1.27012,-2.74836);(-1.62714,-0.820471);(1.17931,-3.23236);(2.22441,0.874907);(3.03292,1.48537);(-2.10728,-2.7891);(0.601136,2.30643);(-2.28204,0.315881);(2.61504,-1.94293);(-1.82338,3.88213);(-2.58131,-1.62413);(-1.31017,1.37534);(-0.613568,-2.45704);(-0.868902,-1.40697);(0.490486,-3.20535);(1.34117,3.2857);(2.60065,-2.12691);(-0.951497,-0.898643);(-2.34248,-2.85475)
0.9;(-1.92234,3.05374);(-2.98135,0.0466334);(2.46733,-3.97078);(2.19021,0.0186741);(-1.62513,1.75826);(2.4453,4.04491);(-1.58213,-0.510967);(2.07847,2.54198);(1.07391,-0.930129);(1.5956,-2.33745);(1.73718,0.933526);(-2.82612,1.57397);(1.26728,1.44904);(2.13392,-0.447702);(-2.60783,-4.1552);(-2.12094,4.49121);(2.98772,-0.373289);(0.515993,-2.48756);(2.06421,-1.88354);(1.58768,0.912083);(-0.39947,3.12566);(1.1083,-1.72106);(1.41162,2.38908);(-1.15136,1.09182);(2.62395,3.68695);(1.06939,3.75778);(-2.22885,3.08668);(-0.755589,0.357468);(-0.157748,1.74136);(-0.824544,0.421167);(0.585273,-0.230646);(-1.31476,-2.76227);(-1.65682,-0.845628);(1.22747,-3.23924);(2.28694,0.885466);(3.11935,1.48035);(-2.16033,-2.79474);(0.646914,2.31044);(-2.37171,0.298662);(2.65867,-1.92697);(-1.86983,3.89462);(-2.68003,-1.65211);(-1.37517,1.37778);(-0.656705,-2.5034);(-0.894975,-1.45597);(0.536222,-3.21053);(1.40096,3.24932);(2.64712,-2.1254);(-0.976765,-0.915241);(-2.38831,-2.85656)
0.95;(-1.98194,3.06604);(-3.05365,0.026444);(2.5112,-3.96489);(2.26755,0.0271472);(-1.66623,1.77377);(2.48931,4.04376);(-1.64608,-0.517332);(2.13213,2.54267);(1.11775,-0.937361);(1.66263,-2.3578);(1.79833,0.936411);(-2.8881,1.57204);(1.31902,1.44341);(2.18233,-0.445049);(-2.64116,-4.16064);(-2.16832,4.50493);(3.08906,-0.370956);(0.504179,-2.49712);(2.0998,-1.86989);(1.64973,0.914736);(-0.439302,3.13178);(1.146,-1.72512);(1.47301,2.37927);(-1.2212,1.08868);(2.65936,3.6846);(1.10791,3.81112);(-2.28221,3.09339);(-0.815728,0.359812);(-0.169519,1.75049);(-0.880388,0.423771);(0.629734,-0.231316);(-1.39592,-2.80302);(-1.69,-0.868409);(1.2754,-3.24429);(2.35027,0.894832);(3.20375,1.47533);(-2.21252,-2.79886);(0.69397,2.31369);(-2.46017,0.28296);(2.7523,-1.91086);(-1.91649,3.90481);(-2.73205,-1.66679);(-1.43214,1.37699);(-0.705325,-2.59945);(-0.912572,-1.45569);(0.544488,-3.24883);(1.46056,3.23311);(2.72505,-2.16276);(-1.0069,-0.930571);(-2.43299,-2.85717)
