time;0;1
4.85506;(-1.56439,7.36773e-05);(1.56439,-1.68526e-05)
4.86006;(-1.55707,7.3946e-05);(1.55707,-1.7171e-05)
4.86506;(-1.54978,7.42221e-05);(1.54978,-1.74967e-05)
4.87006;(-1.54252,7.4506e-05);(1.54252,-1.78302e-05)
4.87506;(-1.5353,7.47977e-05);(1.5353,-1.81715e-05)
4.88006;(-1.52812,7.50975e-05);(1.52812,-1.8521e-05)
4.88506;(-1.52097,7.54057e-05);(1.52097,-1.88787e-05)
4.89006;(-1.51387,7.57224e-05);(1.51387,-1.92451e-05)
4.89506;(-1.50679,7.60479e-05);(1.50679,-1.96202e-05)
4.90006;(-1.49976,7.63825e-05);(1.49976,-2.00044e-05)
4.90506;(-1.49277,7.67264e-05);(1.49277,-2.03978e-05)
4.91006;(-1.48581,7.70798e-05);(1.48581,-2.08008e-05)
4.91506;(-1.47889,7.7443e-05);(1.47889,-2.12137e-05)
4.92006;(-1.47201,7.78164e-05);(1.47201,-2.16366e-05)
4.92507;(-1.46517,7.82002e-05);(1.46517,-2.20699e-05)
4.93007;(-1.45837,7.85946e-05);(1.45837,-2.25139e-05)
4.93507;(-1.45161,7.9e-05);(1.45161,-2.29689e-05)
4.94007;(-1.44489,7.94167e-05);(1.44489,-2.34351e-05)
4.94507;(-1.43821,7.9845e-05);(1.43821,-2.3913e-05)
4.95007;(-1.43157,8.02852e-05);(1.43157,-2.44028e-05)
4.95507;(-1.42497,8.07377e-05);(1.42497,-2.49048e-05)
4.96007;(-1.41842,8.12029e-05);(1.41842,-2.54195e-05)
4.96507;(-1.4119,8.1681e-05);(1.4119,-2.59471e-05)
4.97007;(-1.40543,8.21724e-05);(1.40543,-2.64881e-05)
4.97507;(-1.399,8.26776e-05);(1.399,-2.70428e-05)
4.98007;(-1.39261,8.31969e-05);(1.39261,-2.76116e-05)
4.98507;(-1.38627,8.37308e-05);(1.38627,-2.8195e-05)
4.99007;(-1.37997,8.42795e-05);(1.37997,-2.87932e-05)
4.99507;(-1.37371,8.48437e-05);(1.37371,-2.94069e-05)
5.00007;(-1.36749,8.54236e-05);(1.36749,-3.00363e-05)
5.00507;(-1.36132,8.60198e-05);(1.36132,-3.06819e-05)
5.01007;(-1.35519,8.66327e-05);(1.35519,-3.13443e-05)
5.01507;(-1.34911,8.72629e-05);(1.34911,-3.20239e-05)
5.02007;(-1.34307,8.79107e-05);(1.34307,-3.27212e-05)
5.02507;(-1.33707,8.85767e-05);(1.33707,-3.34366e-05)
5.03007;(-1.33112,8.92614e-05);(1.33112,-3.41708e-05)
5.03507;(-1.32521,8.99654e-05);(1.32521,-3.49242e-05)
5.04007;(-1.31935,9.06893e-05);(1.31935,-3.56975e-05)
5.04507;(-1.31353,9.14335e-05);(1.31353,-3.64911e-05)
5.05007;(-1.30775,9.21986e-05);(1.30775,-3.73057e-05)
5.05507;(-1.30202,9.29854e-05);(1.30202,-3.81418e-05)
5.06007;(-1.29634,9.37943e-05);(1.29634,-3.90001e-05)
5.06507;(-1.2907,9.46261e-05);(1.2907,-3.98813e-05)
5.07007;(-1.28511,9.54813e-05);(1.28511,-4.07859e-05)
5.07507;(-1.27956,9.63607e-05);(1.27956,-4.17147e-05)
5.08007;(-1.27405,9.7265e-05);(1.27405,-4.26683e-05)
5.08507;(-1.26859,9.81949e-05);(1.26859,-4.36475e-05)
5.09007;(-1.26318,9.9151e-05);(1.26318,-4.4653e-05)
5.09507;(-1.25781,0.000100134);(1.25781,-4.56856e-05)
5.10007;(-1.25248,0.000101145);(1.25248,-4.6746e-05)
5.10507;(-1.2472,0.000102185);(1.2472,-4.7835e-05)
5.11007;(-1.24197,0.000103254);(1.24197,-4.89535e-05)
5.11507;(-1.23678,0.000104354);(1.23678,-5.01024e-05)
5.12007;(-1.23163,0.000105485);(1.23163,-5.12824e-05)
5.12507;(-1.22653,0.000106647);(1.22653,-5.24945e-05)
5.13007;(-1.22147,0.000107843);(1.22147,-5.37396e-05)
5.13507;(-1.21646,0.000109073);(1.21646,-5.50187e-05)
5.14007;(-1.21149,0.000110338);(1.21149,-5.63327e-05)
5.14507;(-1.20657,0.000111639);(1.20657,-5.76826e-05)
5.15007;(-1.20169,0.000112976);(1.20169,-5.90696e-05)
5.15507;(-1.19685,0.000114352);(1.19685,-6.04945e-05)
5.16007;(-1.19206,0.000115767);(1.19206,-6.19587e-05)
5.16507;(-1.18731,0.000117222);(1.18731,-6.3463e-05)
5.17007;(-1.1826,0.000118719);(1.1826,-6.50089e-05)
5.17507;(-1.17794,0.000120258);(1.17794,-6.65973e-05)
5.18007;(-1.17332,0.000121841);(1.17332,-6.82295e-05)
5.18507;(-1.16874,0.000123469);(1.16874,-6.99069e-05)
5.19007;(-1.1642,0.000125144);(1.1642,-7.16307e-05)
5.19507;(-1.15971,0.000126866);(1.15971,-7.34022e-05)
5.20007;(-1.15526,0.000128638);(1.15526,-7.52228e-05)
5.20507;(-1.15085,0.00013046);(1.15085,-7.7094e-05)
5.21007;(-1.14648,0.000132334);(1.14648,-7.90171e-05)
5.21507;(-1.14215,0.000134262);(1.14215,-8.09937e-05)
5.22007;(-1.13786,0.000136244);(1.13786,-8.30254e-05)
5.22507;(-1.13361,0.000138283);(1.13361,-8.51136e-05)
5.23007;(-1.12941,0.000140381);(1.12941,-8.72601e-05)
5.23507;(-1.12524,0.000142538);(1.12524,-8.94665e-05)
5.24007;(-1.12111,0.000144757);(1.12111,-9.17346e-05)
5.24507;(-1.11702,0.00014704);(1.11702,-9.4066e-05)
5.25007;(-1.11297,0.000149387);(1.11297,-9.64628e-05)
5.25507;(-1.10896,0.000151802);(1.10896,-9.89266e-05)
5.26007;(-1.10498,0.000154286);(1.10498,-0.00010146)
5.26507;(-1.10105,0.000156841);(1.10105,-0.000104064)
5.27007;(-1.09715,0.000159469);(1.09715,-0.000106741)
5.27507;(-1.09328,0.000162173);(1.09328,-0.000109493)
5.28007;(-1.08946,0.000164954);(1.08946,-0.000112323)
5.28507;(-1.08567,0.000167814);(1.08567,-0.000115232)
5.29007;(-1.08192,0.000170757);(1.08192,-0.000118224)
5.29507;(-1.0782,0.000173784);(1.0782,-0.0001213)
5.30007;(-1.07452,0.000176898);(1.07452,-0.000124462)
5.30507;(-1.07087,0.000180101);(1.07087,-0.000127714)
5.31007;(-1.06726,0.000183396);(1.06726,-0.000131058)
5.31507;(-1.06368,0.000186785);(1.06368,-0.000134497)
5.32007;(-1.06014,0.000190272);(1.06014,-0.000138032)
5.32507;(-1.05662,0.00019386);(1.05662,-0.000141668)
5.33007;(-1.05315,0.00019755);(1.05315,-0.000145408)
5.33507;(-1.0497,0.000201347);(1.0497,-0.000149253)
5.34007;(-1.04629,0.000205253);(1.04629,-0.000153208)
5.34507;(-1.04291,0.000209271);(1.04291,-0.000157275)
5.35007;(-1.03956,0.000213405);(1.03956,-0.000161458)
5.35507;(-1.03624,0.000217659);(1.03624,-0.00016576)
5.36007;(-1.03295,0.000222035);(1.03295,-0.000170185)
5.36508;(-1.0297,0.000226537);(1.0297,-0.000174736)
5.37008;(-1.02647,0.000231169);(1.02647,-0.000179417)
5.37508;(-1.02328,0.000235936);(1.02328,-0.000184232)
5.38008;(-1.02011,0.00024084);(1.02011,-0.000189185)
5.38508;(-1.01697,0.000245886);(1.01697,-0.00019428)
5.39008;(-1.01386,0.000251079);(1.01386,-0.00019952)
5.39508;(-1.01078,0.000256422);(1.01078,-0.000204912)
5.40008;(-1.00773,0.00026192);(1.00773,-0.000210459)
5.40508;(-1.00471,0.000267577);(1.00471,-0.000216165)
5.41008;(-1.00171,0.000273399);(1.00171,-0.000222035)
5.41508;(-0.99874,0.000279391);(0.99874,-0.000228075)
5.42008;(-0.995797,0.000285557);(0.995797,-0.00023429)
5.42508;(-0.992881,0.000291902);(0.992881,-0.000240684)
5.43008;(-0.98999,0.000298433);(0.98999,-0.000247263)
5.43508;(-0.987126,0.000305154);(0.987126,-0.000254033)
5.44008;(-0.984287,0.000312072);(0.984287,-0.000260999)
5.44508;(-0.981473,0.000319193);(0.981473,-0.000268168)
5.45008;(-0.978684,0.000326521);(0.978684,-0.000275545)
5.45508;(-0.97592,0.000334065);(0.97592,-0.000283137)
5.46008;(-0.973179,0.00034183);(0.973179,-0.000290951)
5.46508;(-0.970463,0.000349824);(0.970463,-0.000298993)
5.47008;(-0.967771,0.000358053);(0.967771,-0.00030727)
5.47508;(-0.965102,0.000366524);(0.965102,-0.000315789)
5.48008;(-0.962456,0.000375245);(0.962456,-0.000324558)
5.48508;(-0.959832,0.000384224);(0.959832,-0.000333585)
5.49008;(-0.957232,0.000393468);(0.957232,-0.000342878)
5.49508;(-0.954653,0.000402986);(0.954653,-0.000352444)
5.50008;(-0.952097,0.000412786);(0.952097,-0.000362293)
5.50508;(-0.949562,0.000422878);(0.949562,-0.000372432)
5.51008;(-0.947049,0.000433269);(0.947049,-0.000382872)
5.51508;(-0.944557,0.00044397);(0.944557,-0.00039362)
5.52008;(-0.942086,0.00045499);(0.942086,-0.000404688)
5.52508;(-0.939636,0.000466339);(0.939636,-0.000416085)
5.53008;(-0.937206,0.000478027);(0.937206,-0.000427822)
5.53508;(-0.934796,0.000490065);(0.934796,-0.000439908)
5.54008;(-0.932406,0.000502465);(0.932406,-0.000452356)
5.54508;(-0.930036,0.000515237);(0.930036,-0.000465176)
5.55008;(-0.927685,0.000528393);(0.927685,-0.000478381)
5.55508;(-0.925354,0.000541946);(0.925354,-0.000491981)
5.56008;(-0.923042,0.000555908);(0.923042,-0.000505991)
5.56508;(-0.920748,0.000570293);(0.920748,-0.000520424)
5.57008;(-0.918474,0.000585112);(0.918474,-0.000535291)
5.57508;(-0.916217,0.000600382);(0.916217,-0.000550608)
5.58008;(-0.913979,0.000616115);(0.913979,-0.00056639)
5.58508;(-0.911758,0.000632327);(0.911758,-0.00058265)
5.59008;(-0.909556,0.000649034);(0.909556,-0.000599404)
5.59508;(-0.907371,0.00066625);(0.907371,-0.000616668)
5.60008;(-0.905203,0.000683994);(0.905203,-0.000634459)
5.60508;(-0.903052,0.000702281);(0.903052,-0.000652794)
5.61008;(-0.900919,0.000721129);(0.900919,-0.000671691)
5.61508;(-0.898802,0.000740557);(0.898802,-0.000691167)
5.62008;(-0.896701,0.000760584);(0.896701,-0.000711241)
5.62508;(-0.894617,0.000781229);(0.894617,-0.000731934)
5.63008;(-0.89255,0.000802512);(0.89255,-0.000753265)
5.63508;(-0.890498,0.000824455);(0.890498,-0.000775255)
5.64008;(-0.888462,0.000847078);(0.888462,-0.000797926)
5.64508;(-0.886442,0.000870405);(0.886442,-0.0008213)
5.65008;(-0.884438,0.000894459);(0.884438,-0.000845401)
5.65508;(-0.882448,0.000919263);(0.882448,-0.000870253)
5.66008;(-0.880474,0.000944843);(0.880474,-0.00089588)
5.66508;(-0.878515,0.000971224);(0.878515,-0.000922309)
5.67008;(-0.876571,0.000998433);(0.876571,-0.000949565)
5.67508;(-0.874641,0.0010265);(0.874641,-0.000977677)
5.68008;(-0.872726,0.00105545);(0.872726,-0.00100667)
5.68508;(-0.870826,0.00108531);(0.870826,-0.00103658)
5.69008;(-0.868939,0.00111612);(0.868939,-0.00106744)
5.69508;(-0.867067,0.0011479);(0.867067,-0.00109927)
5.70008;(-0.865209,0.00118069);(0.865209,-0.00113211)
5.70508;(-0.863364,0.00121452);(0.863364,-0.00116599)
5.71008;(-0.861533,0.00124944);(0.861533,-0.00120095)
5.71508;(-0.859716,0.00128547);(0.859716,-0.00123703)
5.72008;(-0.857912,0.00132265);(0.857912,-0.00127425)
5.72508;(-0.856121,0.00136102);(0.856121,-0.00131267)
5.73008;(-0.854343,0.00140063);(0.854343,-0.00135233)
5.73508;(-0.852578,0.00144151);(0.852578,-0.00139325)
5.74008;(-0.850826,0.00148371);(0.850826,-0.0014355)
5.74508;(-0.849087,0.00152727);(0.849087,-0.00147911)
5.75008;(-0.84736,0.00157224);(0.84736,-0.00152413)
5.75508;(-0.845646,0.00161867);(0.845646,-0.00157061)
5.76008;(-0.843944,0.00166662);(0.843944,-0.0016186)
5.76508;(-0.842255,0.00171612);(0.842255,-0.00166815)
5.77008;(-0.840577,0.00176724);(0.840577,-0.00171932)
5.77508;(-0.838911,0.00182003);(0.838911,-0.00177215)
5.78008;(-0.837258,0.00187455);(0.837258,-0.00182672)
5.78508;(-0.835616,0.00193086);(0.835616,-0.00188308)
5.79008;(-0.833985,0.00198903);(0.833985,-0.00194129)
5.79508;(-0.832366,0.00204911);(0.832366,-0.00200142)
