time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;(-1.99997,-2.9477);(0.131069,-2.24833);(0.717186,3.47754);(1.32386,-3.72342);(0.684597,-3.93841);(-0.330056,1.49418);(1.38467,0.21543);(-0.336003,1.60952);(-0.950188,-3.62028);(0.530554,2.05128);(-1.01184,3.8604);(0.606074,-3.41851);(-0.90916,-0.508709);(-1.0489,-1.80075);(-0.0539305,3.18125);(1.61861,0.0361834);(1.94657,-0.0481865);(1.79106,-3.41001);(-0.891673,3.31054);(1.76392,-3.59933)
0.05;(-1.99429,-2.94694);(0.137448,-2.2476);(0.723119,3.47647);(1.33007,-3.72219);(0.691356,-3.93704);(-0.323034,1.49367);(1.39103,0.215357);(-0.329464,1.60901);(-0.944153,-3.61924);(0.536063,2.0507);(-1.00545,3.85923);(0.61294,-3.4173);(-0.903462,-0.50857);(-1.04223,-1.80017);(-0.0465991,3.18009);(1.62486,0.0361711);(1.95336,-0.0481684);(1.79703,-3.40889);(-0.885819,3.30961);(1.77038,-3.59805)
0.1;(-1.98346,-2.94549);(0.149614,-2.24623);(0.734438,3.47443);(1.34191,-3.71982);(0.704242,-3.93443);(-0.357223,1.46484);(1.40318,0.215216);(-0.316991,1.60802);(-0.932641,-3.61725);(0.583413,2.0775);(-0.993266,3.85699);(0.625999,-3.41497);(-0.892594,-0.508306);(-1.02949,-1.79908);(-0.0326172,3.17788);(1.63677,0.0361476);(1.9663,-0.0481339);(1.80845,-3.40675);(-0.874653,3.30784);(1.78269,-3.59562)
0.15;(-1.96795,-2.94341);(0.167033,-2.24426);(0.71982,3.51514);(1.35885,-3.71645);(0.722581,-3.93103);(-0.38118,1.43817);(1.42056,0.215015);(-0.299135,1.60661);(-0.91616,-3.6144);(0.658128,2.06244);(-0.975815,3.85378);(0.644268,-3.41136);(-0.877034,-0.507927);(-1.01126,-1.79753);(-0.0125992,3.17472);(1.65383,0.036114);(1.98484,-0.0480844);(1.82529,-3.40364);(-0.858668,3.30531);(1.80036,-3.59214)
0.2;(-1.94819,-2.94076);(0.189214,-2.24174);(0.712488,3.55097);(1.38041,-3.71215);(0.745835,-3.92664);(-0.395882,1.41348);(1.4427,0.214759);(-0.276393,1.60481);(-0.895169,-3.61078);(0.731433,2.04819);(-0.953591,3.8497);(0.667448,-3.40687);(-0.857217,-0.507445);(-0.988048,-1.79554);(0.0128931,3.17069);(1.67556,0.0360713);(2.00845,-0.0480214);(1.84682,-3.39966);(-0.838308,3.30208);(1.82282,-3.58768)
0.25;(-1.92459,-2.9376);(0.215712,-2.23873);(0.711764,3.58237);(1.40614,-3.707);(0.773388,-3.92141);(-0.402197,1.39058);(1.46915,0.214453);(-0.249218,1.60266);(-0.870089,-3.60644);(0.803459,2.03468);(-0.927036,3.84482);(0.694896,-3.40157);(-0.833538,-0.506869);(-0.960322,-1.79316);(0.0433463,3.16586);(1.70152,0.0360202);(2.03666,-0.0479461);(1.8728,-3.39486);(-0.813982,3.29823);(1.84962,-3.58234)
0.3;(-1.89749,-2.93397);(0.246112,-2.23523);(0.717036,3.60974);(1.43563,-3.70108);(0.804884,-3.91541);(-0.400902,1.36933);(1.49952,0.214101);(-0.21802,1.60019);(-0.841298,-3.60147);(0.874323,2.02183);(-0.896554,3.83922);(0.726365,-3.39558);(-0.806352,-0.506207);(-0.928522,-1.79041);(0.0782914,3.16032);(1.73133,0.0359615);(2.06905,-0.0478596);(1.90253,-3.38932);(-0.786057,3.2938);(1.8802,-3.57619)
0.35;(-1.86722,-2.92991);(0.280055,-2.23127);(0.727746,3.63347);(1.46848,-3.69444);(0.839759,-3.90878);(-0.392703,1.34957);(1.53345,0.213708);(-0.183173,1.59743);(-0.809143,-3.59591);(0.944135,2.00959);(-0.86251,3.83296);(0.761178,-3.38898);(-0.775986,-0.505469);(-0.893057,-1.78733);(0.1173,3.15413);(1.76462,0.035896);(2.10522,-0.0477631);(1.93588,-3.38308);(-0.754869,3.28886);(1.91423,-3.56929)
0.4;(-1.83408,-2.92547);(0.31719,-2.22685);(0.743389,3.65388);(1.50431,-3.68716);(0.877825,-3.90151);(-0.378237,1.33118);(1.5706,0.213278);(-0.145012,1.59441);(-0.773939,-3.58982);(1.01299,1.99791);(-0.825238,3.82611);(0.799287,-3.3819);(-0.742734,-0.50466);(-0.854299,-1.78393);(0.15998,3.14736);(1.80108,0.0358242);(2.14484,-0.0476574);(1.97201,-3.37625);(-0.720723,3.28345);(1.95113,-3.56172)
0.45;(-1.79833,-2.92068);(0.357254,-2.22201);(0.763503,3.67127);(1.5428,-3.67927);(0.918312,-3.89392);(-0.358086,1.31403);(1.61067,0.212814);(-0.103847,1.59115);(-0.735972,-3.58326);(1.08098,1.98672);(-0.785042,3.81872);(0.839562,-3.37433);(-0.706863,-0.503787);(-0.812593,-1.78023);(0.205974,3.14004);(1.8404,0.0357469);(2.18757,-0.0475434);(2.01125,-3.36878);(-0.683897,3.27761);(1.99093,-3.55346)
0.5;(-1.76022,-2.91557);(0.399891,-2.2166);(0.787665,3.68592);(1.58359,-3.67086);(0.961597,-3.88569);(-0.333478,1.29936);(1.6534,0.21232);(-0.059954,1.58768);(-0.695502,-3.57625);(1.14741,1.97412);(-0.735112,3.82777);(0.882925,-3.36656);(-0.667913,-0.504196);(-0.768236,-1.77625);(0.254955,3.13224);(1.88234,0.0356645);(2.23314,-0.0474219);(2.05199,-3.36086);(-0.651729,3.25444);(2.03254,-3.54469)
0.55;(-1.71996,-2.91018);(0.445016,-2.2109);(0.82701,3.69775);(1.62644,-3.66194);(1.00581,-3.87931);(-0.304123,1.2856);(1.69854,0.211797);(-0.0135864,1.58401);(-0.652766,-3.56886);(1.21319,1.96211);(-0.694981,3.83513);(0.925592,-3.35681);(-0.627301,-0.502995);(-0.721109,-1.77344);(0.306625,3.12401);(1.92663,0.0355776);(2.28127,-0.0472936);(2.09665,-3.35214);(-0.616685,3.23251);(2.07767,-3.53507)
0.6;(-1.67776,-2.90453);(0.491876,-2.20249);(0.86851,3.70735);(1.67098,-3.65261);(1.05247,-3.87213);(-0.270772,1.27348);(1.74586,0.211248);(0.0350266,1.58016);(-0.607979,-3.56111);(1.2784,1.95064);(-0.6522,3.84063);(0.971984,-3.34935);(-0.584451,-0.502659);(-0.672301,-1.7702);(0.360709,3.11537);(1.97308,0.0354866);(2.33174,-0.0471592);(2.14153,-3.34312);(-0.579019,3.21177);(2.1235,-3.52507)
0.65;(-1.63379,-2.89865);(0.541731,-2.19399);(0.911936,3.71491);(1.71694,-3.6429);(1.10131,-3.86424);(-0.233687,1.26252);(1.79517,0.210676);(0.0856772,1.57616);(-0.561336,-3.55303);(1.34313,1.93987);(-0.60702,3.84443);(1.02039,-3.34143);(-0.539668,-0.502792);(-0.622423,-1.76669);(0.416958,3.10638);(2.02147,0.0353917);(2.38426,-0.0472391);(2.18672,-3.33375);(-0.538985,3.19214);(2.16971,-3.51472)
0.7;(-1.58823,-2.89256);(0.593185,-2.18541);(0.957078,3.72062);(1.76395,-3.63297);(1.15028,-3.85711);(-0.193119,1.25245);(1.84628,0.210083);(0.138176,1.57201);(-0.513025,-3.54467);(1.40621,1.9259);(-0.55967,3.84669);(1.06476,-3.33336);(-0.493611,-0.502294);(-0.570081,-1.76381);(0.475141,3.09706);(2.07162,0.035293);(2.4387,-0.0474421);(2.2363,-3.32316);(-0.49681,3.17351);(2.21939,-3.50318)
0.75;(-1.54122,-2.88627);(0.646067,-2.17676);(1.00374,3.72464);(1.81193,-3.62273);(1.20113,-3.84927);(-0.149305,1.24319);(1.8988,0.208508);(0.192352,1.56772);(-0.463239,-3.53604);(1.4692,1.91428);(-0.51036,3.84754);(1.11169,-3.32485);(-0.446078,-0.502101);(-0.515974,-1.76044);(0.535048,3.08745);(2.12329,0.034708);(2.49495,-0.0477902);(2.28437,-3.31243);(-0.4527,3.1558);(2.26813,-3.49144)
0.8;(-1.4929,-2.87981);(0.700209,-2.16802);(1.05176,3.72713);(1.86064,-3.61219);(1.25361,-3.84076);(-0.102497,1.23457);(1.95262,0.206505);(0.24805,1.56332);(-0.412089,-3.52718);(1.53211,1.90406);(-0.459279,3.84711);(1.16088,-3.31593);(-0.397245,-0.50208);(-0.460217,-1.75679);(0.596486,3.07756);(2.17634,0.0338824);(2.55283,-0.0481873);(2.33089,-3.3016);(-0.406843,3.13891);(2.3158,-3.47953)
0.85;(-1.4434,-2.87318);(0.756322,-2.15904);(1.10098,3.72824);(1.90892,-3.60255);(1.2944,-3.84006);(-0.0529421,1.22647);(2.00762,0.204281);(0.30513,1.55882);(-0.359699,-3.51809);(1.5937,1.89145);(-0.406619,3.84552);(1.20934,-3.30705);(-0.347258,-0.502144);(-0.40385,-1.75299);(0.659274,3.06744);(2.23066,0.0329333);(2.61217,-0.0485866);(2.38137,-3.28695);(-0.359464,3.12268);(2.37349,-3.46123)
0.9;(-1.39283,-2.86641);(0.813289,-2.14995);(1.15126,3.72809);(1.95766,-3.59257);(1.33789,-3.83803);(-0.000876352,1.21881);(2.06388,0.201692);(0.363462,1.55421);(-0.306234,-3.50882);(1.65502,1.88031);(-0.352559,3.84285);(1.25986,-3.2978);(-0.296242,-0.502225);(-0.346044,-1.74894);(0.723245,3.05709);(2.28621,0.0318005);(2.67288,-0.048966);(2.42872,-3.27259);(-0.310706,3.10708);(2.42645,-3.4434)
0.95;(-1.34128,-2.8595);(0.870883,-2.14066);(1.20251,3.72681);(2.00666,-3.58229);(1.38377,-3.8348);(0.0534234,1.21156);(2.1213,0.198977);(0.422929,1.54953);(-0.251772,-3.49937);(1.7161,1.87014);(-0.297264,3.83921);(1.31215,-3.28822);(-0.244301,-0.502272);(-0.286923,-1.74468);(0.788247,3.04654);(2.3429,0.0305939);(2.73479,-0.049307);(2.47332,-3.25855);(-0.260667,3.09202);(2.47533,-3.426)
1;(-1.28885,-2.85248);(0.929821,-2.13078);(1.2546,3.72449);(2.05573,-3.57176);(1.43172,-3.83048);(0.109766,1.20463);(2.17978,0.196239);(0.483429,1.54476);(-0.196405,-3.48975);(1.77699,1.86068);(-0.240886,3.83468);(1.33357,-3.28249);(-0.191521,-0.502245);(-0.227594,-1.74039);(0.854134,3.03581);(2.40061,0.0293608);(2.79776,-0.049597);(2.54786,-3.24076);(-0.20947,3.07746);(2.52074,-3.40903)
1.05;(-1.23593,-2.84516);(0.989095,-2.12055);(1.30743,3.72122);(2.10466,-3.56097);(1.48148,-3.82516);(0.167915,1.19793);(2.23923,0.19354);(0.544865,1.53992);(-0.158927,-3.48273);(1.83623,1.84854);(-0.183567,3.82934);(1.37883,-3.2735);(-0.13793,-0.502081);(-0.167112,-1.73591);(0.92076,3.02499);(2.45925,0.0281403);(2.86169,-0.0498406);(2.6042,-3.22351);(-0.15723,3.06337);(2.56319,-3.3926)
1.1;(-1.2023,-2.82092);(1.0486,-2.10978);(1.3609,3.71711);(2.15323,-3.54997);(1.53277,-3.81895);(0.227708,1.19144);(2.29968,0.190755);(0.607147,1.53502);(-0.0988946,-3.49216);(1.89527,1.8374);(-0.125431,3.82326);(1.42636,-3.26415);(-0.0836103,-0.501786);(-0.105602,-1.73125);(0.988012,3.01402);(2.5188,0.0269101);(2.92648,-0.0500419);(2.64979,-3.2068);(-0.104051,3.04969);(2.60304,-3.37684)
1.15;(-1.16609,-2.79817);(1.10996,-2.09776);(1.41492,3.71221);(2.20128,-3.53876);(1.58534,-3.81191);(0.288982,1.18515);(2.361,0.187993);(0.670202,1.53006);(-0.0385141,-3.49967);(1.95419,1.82698);(-0.0665956,3.81651);(1.44931,-3.25555);(-0.0286308,-0.501368);(-0.0451446,-1.72645);(1.05577,3.00291);(2.57916,0.0257034);(2.99207,-0.0502047);(2.68888,-3.19084);(-0.05003,3.0364);(2.66705,-3.36096)
1.2;(-1.12756,-2.77677);(1.17096,-2.08436);(1.4694,3.7066);(2.24863,-3.52738);(1.63896,-3.80412);(0.3516,1.17904);(2.42308,0.185339);(0.732751,1.52515);(0.00273826,-3.51713);(2.01423,1.81701);(-0.00716672,3.80916);(1.49637,-3.23484);(0.0260843,-0.498446);(0.0171732,-1.72386);(1.12391,2.99167);(2.64023,0.024565);(3.05837,-0.050323);(2.72373,-3.17624);(0.00474665,3.02345);(2.71262,-3.34532)
1.25;(-1.08691,-2.75661);(1.23137,-2.03552);(1.52425,3.70035);(2.29513,-3.51585);(1.67979,-3.8143);(0.41544,1.1731);(2.48585,0.182773);(0.796045,1.52018);(0.0461536,-3.53191);(2.07411,1.80754);(0.0527576,3.80126);(1.51493,-3.24958);(0.0814091,-0.495605);(0.0794975,-1.72006);(1.19232,2.98032);(2.70194,0.0234754);(3.12533,-0.0504103);(2.80107,-3.14519);(0.0601976,3.01083);(2.74953,-3.32991)
1.3;(-1.04435,-2.73757);(1.29271,-1.99148);(1.57936,3.69354);(2.34063,-3.5042);(1.72306,-3.82213);(0.480046,1.16766);(2.54918,0.180376);(0.859171,1.51553);(0.0798704,-3.54769);(2.13224,1.79062);(0.113086,3.79286);(1.55024,-3.25831);(0.137309,-0.492876);(0.142628,-1.71592);(1.2609,2.96947);(2.76426,0.0224489);(3.1928,-0.0503068);(2.82868,-3.11608);(0.116252,2.99851);(2.78151,-3.31477)
1.35;(-1.00004,-2.71956);(1.35488,-1.95172);(1.63467,3.68622);(2.38497,-3.49245);(1.76839,-3.82783);(0.534396,1.14391);(2.61375,0.177499);(0.933934,1.52975);(0.116466,-3.56094);(2.18998,1.77557);(0.173731,3.784);(1.58886,-3.26502);(0.193662,-0.490186);(0.206053,-1.71128);(1.32957,2.95854);(2.82705,0.0215062);(3.26081,-0.0501925);(2.85414,-3.08875);(0.172844,2.98644);(2.81033,-3.29995)
1.4;(-0.954157,-2.70248);(1.4175,-1.91525);(1.68974,3.67913);(2.42806,-3.48066);(1.81545,-3.83158);(0.592211,1.12753);(2.67871,0.174822);(0.958743,1.54184);(0.155663,-3.57189);(2.29638,1.74903);(0.23461,3.77474);(1.63037,-3.26989);(0.248854,-0.492741);(0.26977,-1.70621);(1.40247,2.96202);(2.89028,0.02064);(3.32932,-0.0500685);(2.87804,-3.06323);(0.229914,2.97463);(2.83693,-3.28554)
1.45;(-0.906836,-2.68625);(1.48072,-1.88153);(1.74497,3.67156);(2.46976,-3.46875);(1.8639,-3.83356);(0.652225,1.11337);(2.74401,0.172328);(0.989672,1.53798);(0.197208,-3.58073);(2.39886,1.72809);(0.295563,3.76507);(1.62427,-3.29006);(0.300412,-0.484875);(0.337348,-1.71133);(1.47462,2.96401);(2.95391,0.0198465);(3.39785,-0.0536123);(2.90063,-3.03947);(0.285484,2.97732);(2.91089,-3.25511)
1.5;(-0.858237,-2.6708);(1.54449,-1.85029);(1.80021,3.66355);(2.51019,-3.45694);(1.91344,-3.83394);(0.715954,1.1025);(2.80964,0.170002);(1.02427,1.53396);(0.189424,-3.59774);(2.49736,1.70854);(0.356565,3.75505);(1.66711,-3.29992);(0.350722,-0.479787);(0.404012,-1.71486);(1.54597,2.96464);(3.01761,0.019263);(3.46685,-0.0566425);(2.92236,-3.0173);(0.341612,2.97887);(2.93486,-3.22594)
1.55;(-0.808482,-2.65608);(1.60909,-1.82154);(1.85534,3.65514);(2.5492,-3.44525);(1.96378,-3.83284);(0.78048,1.09245);(2.87556,0.167828);(1.06218,1.52981);(0.188386,-3.61208);(2.59225,1.69027);(0.41756,3.7447);(1.71224,-3.30763);(0.402029,-0.474867);(0.469087,-1.71657);(1.61646,2.96404);(3.08165,0.0187266);(3.53625,-0.0593688);(2.94319,-2.99658);(0.39823,2.9794);(2.95621,-3.19858)
1.6;(-0.757693,-2.64201);(1.67436,-1.79501);(1.9103,3.64635);(2.58668,-3.43366);(2.01462,-3.83042);(0.845778,1.08313);(2.94174,0.165793);(1.10313,1.52554);(0.193471,-3.62399);(2.68387,1.67315);(0.478478,3.73406);(1.75932,-3.31339);(0.454262,-0.470167);(0.532814,-1.71635);(1.68601,2.96232);(3.14602,0.0182328);(3.60601,-0.0618183);(2.96303,-2.97714);(0.455277,2.97899);(2.97611,-3.17303)
1.65;(-0.706039,-2.62857);(1.74022,-1.77049);(1.96499,3.63722);(2.62254,-3.42218);(2.06569,-3.82678);(0.89582,1.02618);(3.00816,0.163885);(1.15934,1.56887);(0.204109,-3.6337);(2.7728,1.6584);(0.53925,3.72315);(1.80801,-3.31737);(0.507375,-0.465624);(0.595458,-1.71412);(1.75454,2.95958);(3.21067,0.0177781);(3.67582,-0.0653286);(2.98189,-2.95898);(0.512696,2.97772);(2.99491,-3.1492)
1.7;(-0.653628,-2.61569);(1.80635,-1.74763);(2.02188,3.62992);(2.65689,-3.41098);(2.13596,-3.83783);(0.963017,1.01621);(3.07479,0.162092);(1.20929,1.56534);(0.219787,-3.6414);(2.859,1.64448);(0.597942,3.71512);(1.81274,-3.34517);(0.543077,-0.507952);(0.657448,-1.71119);(1.84492,2.97252);(3.27558,0.0173588);(3.74596,-0.0684867);(3.03667,-2.90603);(0.553869,2.99611);(3.05888,-3.10391)
1.75;(-0.60239,-2.60501);(1.86741,-1.72425);(2.07703,3.62213);(2.68955,-3.39959);(2.20157,-3.8464);(1.03082,1.00695);(3.14206,0.161411);(1.26115,1.56158);(0.240034,-3.64728);(2.94288,1.63197);(0.657312,3.70662);(1.82388,-3.36913);(0.566722,-0.501755);(0.732063,-1.75665);(1.92966,2.98306);(3.34142,0.0180569);(3.81625,-0.0719713);(3.04167,-2.85778);(0.596991,3.0119);(3.07287,-3.06003)
1.8;(-0.550276,-2.59455);(1.90717,-1.66244);(2.13072,3.61386);(2.72363,-3.38896);(2.26376,-3.85284);(1.09924,0.998437);(3.20947,0.160732);(1.31474,1.55763);(0.264424,-3.65151);(3.0246,1.62051);(0.717023,3.69768);(1.84084,-3.38959);(0.593876,-0.495985);(0.802006,-1.79626);(2.00917,2.99141);(3.40742,0.0186836);(3.88672,-0.0755225);(3.07084,-2.84288);(0.641862,3.02532);(3.09551,-3.02943)
1.85;(-0.497398,-2.58431);(1.9501,-1.60938);(2.18344,3.60514);(2.75726,-3.37878);(2.32256,-3.85727);(1.16803,0.992788);(3.27701,0.160056);(1.3698,1.55433);(0.292567,-3.65422);(3.1043,1.60985);(0.776514,3.68847);(1.86301,-3.40688);(0.624213,-0.490604);(0.868322,-1.83085);(2.08379,2.99778);(3.47354,0.0192452);(3.95742,-0.0789767);(3.07495,-2.82835);(0.688243,3.03662);(3.10271,-3.0005)
1.9;(-0.444342,-2.57467);(1.9957,-1.56327);(2.23538,3.59597);(2.78943,-3.36898);(2.37789,-3.85991);(1.23735,0.989176);(3.34466,0.159381);(1.42623,1.55141);(0.324104,-3.65558);(3.18333,1.60174);(0.835433,3.67904);(1.88982,-3.42129);(0.657374,-0.485511);(0.921067,-1.86161);(2.15386,3.00233);(3.53862,0.0178356);(4.02836,-0.0822535);(3.09029,-2.8144);(0.735982,3.04597);(3.12156,-2.97179)
1.95;(-0.390734,-2.56518);(2.04358,-1.52294);(2.28654,3.58644);(2.82046,-3.35809);(2.42942,-3.86083);(1.30726,0.987);(3.41241,0.158707);(1.48392,1.54868);(0.358712,-3.65568);(3.24306,1.5475);(0.893645,3.6694);(1.92093,-3.43598);(0.693102,-0.480743);(0.972371,-1.88677);(2.21968,3.00522);(3.60391,0.0165496);(4.09952,-0.0851919);(3.10229,-2.80074);(0.784893,3.05353);(3.12877,-2.9446)
2;(-0.336948,-2.55604);(2.09338,-1.48743);(2.31626,3.62207);(2.84876,-3.34695);(2.47753,-3.86018);(1.37777,0.985808);(3.49177,0.109402);(1.54278,1.546);(0.396091,-3.65466);(3.28928,1.5414);(0.951075,3.65958);(1.95538,-3.4495);(0.731162,-0.476155);(1.01579,-1.91071);(2.30481,2.962);(3.68472,-0.0170857);(4.17088,-0.0878219);(3.11729,-2.78665);(0.83492,3.05947);(3.14739,-2.91616)
2.05;(-0.282746,-2.54699);(2.14456,-1.45601);(2.34804,3.6532);(2.87363,-3.33568);(2.52255,-3.85811);(1.4477,0.984805);(3.57016,0.06462);(1.60211,1.54346);(0.435971,-3.65261);(3.34719,1.51872);(1.04184,3.68477);(1.99309,-3.461);(0.771321,-0.471806);(1.06141,-1.93122);(2.36965,2.93868);(3.76429,-0.0476019);(4.2426,-0.0902346);(3.12751,-2.77286);(0.853247,3.02862);(3.15082,-2.88928)
2.1;(-0.228631,-2.53825);(2.19731,-1.42796);(2.42981,3.6837);(2.8978,-3.32449);(2.56478,-3.85474);(1.51792,0.983819);(3.64765,0.0239594);(1.66246,1.54085);(0.478104,-3.64962);(3.40525,1.49764);(1.0826,3.7095);(2.03347,-3.47051);(0.813443,-0.467464);(1.10041,-1.95076);(2.42869,2.91674);(3.84274,-0.0752743);(4.31447,-0.092385);(3.14149,-2.75874);(0.875698,2.99972);(3.16536,-2.86222)
2.15;(-0.190871,-2.52906);(2.25138,-1.40287);(2.49532,3.71013);(2.91964,-3.3132);(2.60448,-3.8502);(1.5885,0.982486);(3.72433,-0.0129456);(1.72129,1.53574);(0.521266,-3.64748);(3.46345,1.47802);(1.12577,3.73069);(2.07585,-3.47782);(0.857288,-0.463254);(1.15993,-1.9666);(2.48517,2.89874);(3.92017,-0.100355);(4.38647,-0.0942964);(3.1503,-2.74494);(0.901927,2.97258);(3.17137,-2.8367)
2.2;(-0.151055,-2.51996);(2.30675,-1.38036);(2.54957,3.73287);(2.94212,-3.30355);(2.64214,-3.84509);(1.65963,0.980857);(3.80028,-0.0464284);(1.78011,1.52951);(0.566347,-3.64441);(3.52178,1.45972);(1.17108,3.74865);(2.11964,-3.48427);(0.902823,-0.458935);(1.20557,-1.97517);(2.5371,2.88305);(3.99669,-0.123075);(4.45859,-0.0959897);(3.1663,-2.73252);(0.931565,2.94709);(3.18977,-2.8134)
2.25;(-0.109341,-2.51095);(2.36332,-1.36009);(2.5959,3.75224);(2.96288,-3.29369);(2.69388,-3.84155);(1.73133,0.979444);(3.87557,-0.0767927);(1.83931,1.52209);(0.612674,-3.64127);(3.58023,1.44262);(1.21826,3.76368);(2.14839,-3.48628);(0.9498,-0.454749);(1.24782,-1.98242);(2.58451,2.86904);(4.07236,-0.143643);(4.53082,-0.0974844);(3.1718,-2.72044);(0.964278,2.92308);(3.18642,-2.79003)
2.3;(-0.066364,-2.50218);(2.42101,-1.34176);(2.63651,3.76855);(2.98244,-3.28377);(2.7342,-3.83685);(1.81828,0.930415);(3.95024,-0.104315);(1.88352,1.56237);(0.655614,-3.63804);(3.63879,1.42663);(1.2671,3.77605);(2.18523,-3.48678);(0.998125,-0.450814);(1.28325,-1.98563);(2.62759,2.8566);(4.14727,-0.16225);(4.60316,-0.0987979);(3.18482,-2.7093);(0.999819,2.9004);(3.19554,-2.76849)
2.35;(-0.0247533,-2.49349);(2.48004,-1.33008);(2.67561,3.78286);(3.00061,-3.27341);(2.76835,-3.83108);(1.90394,0.891017);(4.02437,-0.129248);(1.89479,1.56521);(0.699948,-3.63457);(3.69744,1.41163);(1.31461,3.78617);(2.22452,-3.48596);(1.04767,-0.447114);(1.3208,-1.98749);(2.70147,2.87629);(4.2215,-0.179071);(4.67558,-0.0999462);(3.19095,-2.69841);(1.03793,2.87895);(3.2061,-2.74756)
2.4;(0.0182672,-2.48498);(2.53977,-1.32256);(2.71302,3.7951);(3.01802,-3.26288);(2.80257,-3.82594);(1.98892,0.858479);(4.098,-0.151821);(1.9186,1.55159);(0.745488,-3.63084);(3.75617,1.39755);(1.36086,3.79354);(2.26177,-3.4823);(1.09832,-0.443621);(1.356,-1.98697);(2.74656,2.89293);(4.2951,-0.194263);(4.74809,-0.100944);(3.20282,-2.68846);(1.07132,2.87422);(3.2144,-2.72738)
2.45;(0.0600631,-2.47693);(2.59987,-1.31767);(2.74912,3.80562);(3.03462,-3.25206);(2.83236,-3.82017);(2.07348,0.831043);(4.17128,-0.172246);(1.94675,1.53873);(0.79136,-3.62693);(3.81499,1.38429);(1.40539,3.79822);(2.28429,-3.52643);(1.14998,-0.440318);(1.39286,-1.98429);(2.78249,2.90681);(4.36813,-0.207971);(4.82066,-0.101804);(3.22665,-2.62996);(1.10736,2.86904);(3.22447,-2.70818)
2.5;(0.102581,-2.46906);(2.64134,-1.26638);(2.7832,3.81475);(3.05051,-3.24105);(2.85916,-3.81345);(2.15795,0.807594);(4.24421,-0.190733);(1.97889,1.52657);(0.837947,-3.62281);(3.87388,1.37179);(1.44773,3.8007);(2.31105,-3.56511);(1.20139,-0.437128);(1.43088,-1.97996);(2.81457,2.91776);(4.44064,-0.220326);(4.89331,-0.102539);(3.23146,-2.61769);(1.14577,2.86345);(3.23119,-2.69012)
2.55;(0.145677,-2.46138);(2.68365,-1.23207);(2.81518,3.8228);(3.06578,-3.22991);(2.88428,-3.80591);(2.2433,0.798631);(4.31682,-0.207465);(2.01458,1.51499);(0.884736,-3.61857);(3.93284,1.35998);(1.48794,3.80125);(2.34134,-3.59883);(1.25374,-0.4341);(1.46561,-1.97175);(2.84421,2.92588);(4.51276,-0.231436);(4.96602,-0.103161);(3.2419,-2.60651);(1.18631,2.85748);(3.24132,-2.67329)
2.6;(0.188658,-2.45448);(2.72845,-1.20049);(2.84523,3.8301);(3.08014,-3.21792);(2.90822,-3.79759);(2.32494,0.788664);(4.38906,-0.222563);(2.05324,1.50455);(0.931347,-3.61432);(3.99466,1.3503);(1.52621,3.79985);(2.37442,-3.62804);(1.30722,-0.431818);(1.50178,-1.96117);(2.87195,2.93128);(4.58445,-0.241425);(5.03881,-0.103671);(3.24382,-2.59631);(1.22872,2.85118);(3.24489,-2.65768)
2.65;(0.232444,-2.44753);(2.7755,-1.17138);(2.87371,3.83743);(3.09398,-3.20496);(2.93114,-3.78856);(2.40477,0.778408);(4.46098,-0.236172);(2.09458,1.49506);(0.977511,-3.61028);(4.05757,1.34195);(1.56255,3.79599);(2.40959,-3.65314);(1.36176,-0.430131);(1.53537,-1.94643);(2.89799,2.93419);(4.65575,-0.25039);(5.11164,-0.104088);(3.25484,-2.58858);(1.2728,2.84458);(3.25789,-2.64438)
2.7;(0.277218,-2.44046);(2.82057,-1.1504);(2.89731,3.84277);(3.10707,-3.19376);(3.0039,-3.77549);(2.48752,0.773981);(4.53261,-0.248424);(2.13826,1.48644);(1.02304,-3.60684);(4.12092,1.33459);(1.60039,3.79193);(2.39492,-3.68217);(1.41731,-0.429004);(1.57188,-1.93157);(2.92475,2.93605);(4.72669,-0.258429);(5.18452,-0.104418);(3.25102,-2.57765);(1.31614,2.83647);(3.24672,-2.63202)
2.75;(0.321734,-2.43323);(2.87187,-1.13094);(2.93469,3.85083);(3.11993,-3.18141);(3.02666,-3.76231);(2.56783,0.768747);(4.60397,-0.25944);(2.18421,1.47824);(1.02087,-3.58839);(4.18574,1.32836);(1.62329,3.7833);(2.42842,-3.72458);(1.46963,-0.428017);(1.60178,-1.90618);(2.95015,2.93683);(4.79732,-0.265618);(5.25745,-0.104672);(3.2584,-2.57149);(1.35916,2.82695);(3.24965,-2.62631)
2.8;(0.364149,-2.37603);(2.92483,-1.11286);(2.95419,3.85683);(3.1395,-3.21861);(3.05603,-3.79869);(2.64674,0.763098);(4.67509,-0.269328);(2.23246,1.47038);(1.02528,-3.61951);(4.25107,1.32283);(1.65034,3.77416);(2.46361,-3.76161);(1.52838,-0.413241);(1.62999,-1.89631);(2.97325,2.93783);(4.86765,-0.272032);(5.33041,-0.104853);(3.25496,-2.53459);(1.40139,2.81587);(3.2462,-2.571)
