time;0;1;2;3;4;5;6;7;8;9
1.2;(8.93958,0.000354326);(7.33155,5.32668);(2.75726,8.48453);(-2.7664,8.51273);(-7.14695,5.19176);(-9.01334,-7.87972e-07);(-7.11926,-5.17245);(-2.77004,-8.52533);(2.72695,-8.39472);(7.17728,-5.21462)
1.25;(8.87581,0.000415346);(7.28589,5.29351);(2.73727,8.42277);(-2.74698,8.45271);(-7.09017,5.15045);(-8.95396,-7.8278e-07);(-7.06083,-5.12999);(-2.75078,-8.46603);(2.70502,-8.32758);(7.12236,-5.17472)
1.3;(8.81147,0.000482734);(7.23982,5.26004);(2.71711,8.36046);(-2.72738,8.39214);(-7.03289,5.10878);(-8.89405,-7.77543e-07);(-7.00188,-5.08716);(-2.73134,-8.40621);(2.68289,-8.25985);(7.06695,-5.13447)
1.35;(8.74662,0.00055674);(7.19339,5.2263);(2.6968,8.29764);(-2.70763,8.33107);(-6.97515,5.06678);(-8.83366,-7.72263e-07);(-6.94245,-5.04398);(-2.71174,-8.3459);(2.66057,-8.19158);(7.0111,-5.0939)
1.4;(8.68131,0.000637608);(7.14662,5.19232);(2.67635,8.23436);(-2.68774,8.26957);(-6.917,5.02449);(-8.77282,-7.66945e-07);(-6.88259,-5.00049);(-2.69201,-8.28516);(2.63808,-8.12281);(6.95485,-5.05304)
1.45;(8.61558,0.000725579);(7.09954,5.15812);(2.65577,8.17067);(-2.66772,8.20765);(-6.85846,4.98193);(-8.71159,-7.61592e-07);(-6.82233,-4.95672);(-2.67214,-8.22402);(2.61542,-8.0536);(6.89824,-5.01191)
1.5;(8.54947,0.000820897);(7.05218,5.12371);(2.63508,8.1066);(-2.6476,8.14537);(-6.79959,4.93913);(-8.65001,-7.56208e-07);(-6.76174,-4.91269);(-2.65216,-8.16252);(2.59264,-7.98399);(6.84129,-4.97055)
1.55;(8.48303,0.000924192);(7.00458,5.08912);(2.61429,8.0422);(-2.62748,8.083);(-6.74031,4.89586);(-8.58809,-7.50795e-07);(-6.70082,-4.86843);(-2.63207,-8.10069);(2.56972,-7.91402);(6.78405,-4.92897)
1.6;(8.4163,0.00103002);(6.95674,5.05437);(2.59341,7.9775);(-2.60727,8.02031);(-6.68076,4.85242);(-8.52588,-7.45356e-07);(-6.63962,-4.82397);(-2.61189,-8.03858);(2.54667,-7.84372);(6.72655,-4.88718)
1.65;(8.34931,0.00113874);(6.9087,5.01947);(2.57246,7.91253);(-2.58696,7.95732);(-6.62097,4.80882);(-8.46341,-5.3733e-07);(-6.57817,-4.77932);(-2.59162,-7.9762);(2.5235,-7.77313);(6.6688,-4.84521)
1.7;(8.28208,0.00125068);(6.86048,4.98443);(2.55143,7.84732);(-2.56657,7.89407);(-6.56097,4.76507);(-8.40071,-1.21475e-07);(-6.51648,-4.7345);(-2.57128,-7.9136);(2.50023,-7.70227);(6.61084,-4.80308)
