time;0;1;2;3;4;5;6;7;8;9
0.12;(9.98186,1.38755e-11);(8.0772,5.86843);(3.08447,9.49302);(-3.08462,9.49349);(-8.07405,5.86614);(-9.98313,-8.72753e-07);(-8.07357,-5.86579);(-3.08469,-9.49372);(3.08397,-9.49149);(8.07456,-5.86651)
0.125;(9.98041,2.3835e-11);(8.07616,5.86767);(3.08401,9.49162);(-3.08418,9.49212);(-8.07276,5.8652);(-9.98178,-8.72635e-07);(-8.07224,-5.86483);(-3.08426,-9.49237);(3.08348,-9.48996);(8.07331,-5.8656)
0.13;(9.97891,3.9511e-11);(8.07508,5.86689);(3.08354,9.49017);(-3.08372,9.4907);(-8.07142,5.86423);(-9.98038,-8.72513e-07);(-8.07086,-5.86383);(-3.0838,-9.49097);(3.08296,-9.48837);(8.07202,-5.86466)
0.135;(9.97735,6.34419e-11);(8.07397,5.86608);(3.08305,9.48866);(-3.08324,9.48924);(-8.07004,5.86323);(-9.97894,-8.72386e-07);(-8.06944,-5.86279);(-3.08333,-9.48953);(3.08243,-9.48674);(8.07068,-5.86369)
0.14;(9.97575,9.89892e-11);(8.07282,5.86525);(3.08255,9.48711);(-3.08275,9.48773);(-8.06861,5.86219);(-9.97744,-8.72256e-07);(-8.06797,-5.86172);(-3.08285,-9.48804);(3.08188,-9.48505);(8.06929,-5.86269)
0.145;(9.97409,1.50508e-10);(8.07164,5.86439);(3.08203,9.48551);(-3.08224,9.48617);(-8.06714,5.86112);(-9.9759,-8.72121e-07);(-8.06646,-5.86062);(-3.08235,-9.4865);(3.08132,-9.48331);(8.06787,-5.86165)
0.15;(9.97239,2.23533e-10);(8.07042,5.8635);(3.08149,9.48386);(-3.08172,9.48456);(-8.06563,5.86002);(-9.97432,-8.71983e-07);(-8.0649,-5.85949);(-3.08183,-9.48492);(3.08073,-9.48151);(8.0664,-5.86058)
0.155;(9.97063,3.24978e-10);(8.06917,5.86259);(3.08094,9.48216);(-3.08118,9.48291);(-8.06407,5.85889);(-9.97269,-8.7184e-07);(-8.06329,-5.85832);(-3.0813,-9.48329);(3.08013,-9.47967);(8.06489,-5.85949)
0.16;(9.96883,4.63344e-10);(8.06788,5.86166);(3.08037,9.48042);(-3.08063,9.48121);(-8.06247,5.85772);(-9.97101,-8.71693e-07);(-8.06164,-5.85712);(-3.08076,-9.48162);(3.07952,-9.47777);(8.06334,-5.85836)
0.165;(9.96698,6.4894e-10);(8.06656,5.86069);(3.07979,9.47863);(-3.08007,9.47947);(-8.06082,5.85653);(-9.96929,-8.71543e-07);(-8.05995,-5.85589);(-3.0802,-9.4799);(3.07888,-9.47583);(8.06175,-5.8572)
0.17;(9.96508,8.94107e-10);(8.0652,5.85971);(3.0792,9.47679);(-3.07949,9.47768);(-8.05913,5.8553);(-9.96752,-8.71389e-07);(-8.05821,-5.85463);(-3.07963,-9.47813);(3.07824,-9.47383);(8.06011,-5.85602)
0.175;(9.96314,1.21345e-09);(8.06381,5.8587);(3.07859,9.47491);(-3.07889,9.47585);(-8.05741,5.85405);(-9.96571,-8.7123e-07);(-8.05643,-5.85334);(-3.07904,-9.47633);(3.07757,-9.47178);(8.05844,-5.8548)
0.18;(9.96114,1.62406e-09);(8.06238,5.85766);(3.07796,9.47298);(-3.07828,9.47397);(-8.05563,5.85276);(-9.96386,-8.71068e-07);(-8.05461,-5.85201);(-3.07844,-9.47448);(3.07689,-9.46969);(8.05673,-5.85355)
0.185;(9.9591,2.14576e-09);(8.06092,5.8566);(3.07732,9.47101);(-3.07766,9.47205);(-8.05382,5.85144);(-9.96196,-8.70903e-07);(-8.05274,-5.85066);(-3.07783,-9.47258);(3.07619,-9.46754);(8.05497,-5.85228)
