tau,E(tau),Log tau,
1.79,0.444251133,0.252853031,-0.352371456
1.8,0.343473432,0.255272505,-0.46410685
1.81,0.122602322,0.257678575,-0.911501305
1.82,0.249654677,0.260071388,-0.602660294
1.83,0.291520849,0.26245109,-0.53533038
1.84,0.400477567,0.264817823,-0.397421806
1.85,-0.051959739,0.267171728,#NUM!
1.86,0.161268148,0.269512944,-0.792451401
1.87,0.152191815,0.271841607,-0.817608704
1.88,0.14792013,0.274157849,-0.82997272
1.89,-0.061368946,0.276461804,#NUM!
1.9,-0.085766822,0.278753601,#NUM!
1.91,0.376477571,0.281033367,-0.424260892
1.92,0.013793322,0.283301229,-1.860331122
1.93,0.025001302,0.285557309,-1.60203737
1.94,0.315516871,0.28780173,-0.500977414
1.95,-0.040273899,0.290034611,#NUM!
1.96,0.125163143,0.292256071,-0.90252354
1.97,0.223143551,0.294466226,-0.65141566
1.98,0.124454174,0.29666519,-0.904990533
1.99,0.133531393,0.298853076,-0.87441662
2,0,0.301029996,#NUM!
2.01,-0.137201122,0.303196057,#NUM!
2.02,0.126040721,0.305351369,-0.899489121
2.03,0.15415068,0.307496038,-0.812054555
2.04,-0.096460266,0.309630167,#NUM!
2.05,0.131769278,0.311753861,-0.880185834
2.06,0.064538521,0.31386722,-1.190180991
2.07,0.302949545,0.315970345,-0.518629695
2.08,0.420280194,0.318063335,-0.376461076
2.09,-0.059898142,0.320146286,#NUM!
2.1,0.142174489,0.322219295,-0.847178324
2.11,0,0.324282455,#NUM!
2.12,-0.025975486,0.326335861,#NUM!
2.13,0.036367644,0.328379603,-1.43928483
2.14,0.186585956,0.330413773,-0.729121048
2.15,0.385662481,0.33243846,-0.413792609
2.16,0.107888962,0.334453751,-0.967022985
2.17,0.136575535,0.336459734,-0.86462709
2.18,0.206794413,0.338456494,-0.684461199
2.19,-0.028170877,0.340444115,#NUM!
2.2,-0.026317308,0.342422681,#NUM!
2.21,0,0.344392274,#NUM!
2.22,-0.108213585,0.346352974,#NUM!
2.23,0.15415068,0.348304863,-0.812054555
2.24,-0.048790164,0.350248018,#NUM!
2.25,-0.074107972,0.352182518,#NUM!
2.26,0.011834458,0.354108439,-1.926851642
2.27,-0.251314428,0.356025857,#NUM!
2.28,-0.087011377,0.357934847,#NUM!
2.29,-0.150282203,0.359835482,#NUM!
2.3,-0.104140259,0.361727836,#NUM!
2.31,0.130053128,0.36361198,-0.885879198
2.32,0.117783036,0.365487985,-0.928917255
2.33,0.012578782,0.367355921,-1.900361403
2.34,0.050643733,0.369215857,-1.295474291
2.35,0,0.371067862,#NUM!
2.36,-0.31121257,0.372912003,#NUM!
2.37,0.0588405,0.374748346,-1.230323645
2.38,-0.046520016,0.376576957,#NUM!
2.39,-0.01169604,0.378397901,#NUM!
2.4,0.329753286,0.380211242,-0.481810868
